t_s,P_acc_pa,P_act_pa
0.000000000000000000e+00,2.413165051499999687e+07,2.413165051499999687e+07
1.000000000000000056e-01,2.413165051499999687e+07,2.345896310318534076e+07
2.000000000000000111e-01,2.413165051499999687e+07,2.279577626920035854e+07
3.000000000000000444e-01,2.413165051499999687e+07,2.214160848438936472e+07
4.000000000000000222e-01,2.413165051499999687e+07,2.149662932182019949e+07
5.000000000000000000e-01,2.413165051499999687e+07,2.086083878149286285e+07
6.000000000000000888e-01,2.413165051499999687e+07,2.023445474456884712e+07
7.000000000000000666e-01,2.413165051499999687e+07,1.961771851867281646e+07
8.000000000000000444e-01,2.413165051499999687e+07,1.901040176342387870e+07
9.000000000000000222e-01,2.413165051499999687e+07,1.841250447882202640e+07
1.000000000000000000e+00,2.413165051499999687e+07,1.782414879320157692e+07
1.100000000000000089e+00,2.413165051499999687e+07,1.724548389092618600e+07
1.200000000000000178e+00,2.413165051499999687e+07,1.667637333023587801e+07
1.300000000000000044e+00,2.413165051499999687e+07,1.611681711113065295e+07
1.400000000000000133e+00,2.413165051499999687e+07,1.556690573011958040e+07
1.500000000000000000e+00,2.413165051499999687e+07,1.502671239924706146e+07
1.600000000000000089e+00,2.413165051499999687e+07,1.449610815802960470e+07
1.700000000000000178e+00,2.413165051499999687e+07,1.397509300646721944e+07
1.800000000000000044e+00,2.413165051499999687e+07,1.346366694455989823e+07
1.900000000000000133e+00,2.413165051499999687e+07,1.296182997230764106e+07
2.000000000000000000e+00,2.413165051499999687e+07,1.246958208971045166e+07
2.100000000000000089e+00,2.413165051499999687e+07,1.198692329676833004e+07
2.200000000000000178e+00,2.413165051499999687e+07,1.151385359348127246e+07
2.300000000000000266e+00,2.413165051499999687e+07,1.105037297984928265e+07
2.400000000000000355e+00,2.413165051499999687e+07,1.059648145587235689e+07
2.500000000000000000e+00,2.413165051499999687e+07,1.015217902155050077e+07
2.600000000000000089e+00,2.413165051499999687e+07,9.717465676883708686e+06
2.700000000000000178e+00,2.413165051499999687e+07,9.292391784678123891e+06
2.800000000000000266e+00,2.413165051499999687e+07,8.876958947147265077e+06
2.900000000000000355e+00,2.413165051499999687e+07,8.471128895421512425e+06
3.000000000000000000e+00,2.413165051499999687e+07,8.074901629500872456e+06
3.100000000000000089e+00,2.413165051499999687e+07,7.688277149385339580e+06
3.200000000000000178e+00,2.413165051499999687e+07,7.311255455074915662e+06
3.300000000000000266e+00,2.413165051499999687e+07,6.943836546569601633e+06
3.400000000000000355e+00,2.413165051499999687e+07,6.586020423869396560e+06
3.500000000000000000e+00,2.413165051499999687e+07,6.237807086974302307e+06
3.600000000000000089e+00,2.413165051499999687e+07,5.899196535884316079e+06
3.700000000000000178e+00,2.413165051499999687e+07,5.570188770599438809e+06
3.800000000000000266e+00,2.413165051499999687e+07,5.250783791119671427e+06
3.900000000000000355e+00,2.413165051499999687e+07,4.940981597445013002e+06
4.000000000000000000e+00,2.413165051499999687e+07,4.640800637452067807e+06
4.100000000000000533e+00,2.413165051499999687e+07,4.350233486598976888e+06
4.200000000000000178e+00,2.413165051499999687e+07,4.069272985661000945e+06
4.299999999999999822e+00,2.413165051499999687e+07,3.797919134638138115e+06
4.400000000000000355e+00,2.413165051499999687e+07,3.536171933530385140e+06
4.500000000000000000e+00,2.413165051499999687e+07,3.284031382337747607e+06
4.600000000000000533e+00,2.413165051499999687e+07,3.041497481060221326e+06
4.700000000000000178e+00,2.413165051499999687e+07,2.808570229697809555e+06
4.800000000000000711e+00,2.413165051499999687e+07,2.585249628250509501e+06
4.900000000000000355e+00,2.413165051499999687e+07,2.371535676718323492e+06
5.000000000000000000e+00,2.413165051499999687e+07,2.167428375101250596e+06
5.100000000000000533e+00,2.413165051499999687e+07,1.972927723399289185e+06
5.200000000000000178e+00,2.413165051499999687e+07,1.788033721612442052e+06
5.300000000000000711e+00,2.413165051499999687e+07,1.612746479186665732e+06
5.400000000000000355e+00,2.413165051499999687e+07,1.447065920877180528e+06
5.500000000000000000e+00,2.413165051499999687e+07,1.290992030151880812e+06
5.600000000000000533e+00,2.413165051499999687e+07,1.144524807010765653e+06
5.700000000000000178e+00,2.413165051499999687e+07,1.007664251453837496e+06
5.800000000000000711e+00,2.413165051499999687e+07,8.804103634810940130e+05
5.900000000000000355e+00,2.413165051499999687e+07,7.627631430925374152e+05
6.000000000000000000e+00,2.413165051499999687e+07,6.547225902881667716e+05
6.100000000000000533e+00,2.413165051499999687e+07,5.562887050679810345e+05
6.200000000000000178e+00,2.413165051499999687e+07,4.674614874319817172e+05
6.300000000000000711e+00,2.413165051499999687e+07,3.882409373801677139e+05
6.400000000000000355e+00,2.413165051499999687e+07,3.186270549125400721e+05
6.500000000000000000e+00,2.413165051499999687e+07,2.586198400290982681e+05
6.600000000000000533e+00,2.413165051499999687e+07,2.082191934285841708e+05
6.700000000000000178e+00,2.413165051499999687e+07,1.674248018689822347e+05
6.800000000000000711e+00,2.413165051499999687e+07,1.362366209740787745e+05
6.900000000000000355e+00,2.413165051499999687e+07,1.146545449034673074e+05
7.000000000000000000e+00,2.413165051499999687e+07,1.026766273468114523e+05
7.100000000000000533e+00,2.413165051499999687e+07,9.999699577597186726e+04
7.200000000000000178e+00,2.413165051499999687e+07,9.999712145691883052e+04
7.300000000000000711e+00,2.413165051499999687e+07,9.999714042080657964e+04
7.400000000000000355e+00,2.413165051499999687e+07,9.999715938469431421e+04
7.500000000000000000e+00,2.413165051499999687e+07,9.999717073034550413e+04
7.600000000000000533e+00,2.413165051499999687e+07,9.999717467303146259e+04
7.700000000000000178e+00,2.413165051499999687e+07,9.999717861571742105e+04
7.800000000000000711e+00,2.413165051499999687e+07,9.999718191616871627e+04
7.900000000000000355e+00,2.413165051499999687e+07,9.999718448934558546e+04
8.000000000000000000e+00,2.413165051499999687e+07,9.999718706252245465e+04
8.099999999999999645e+00,2.413165051499999687e+07,9.999718963569932384e+04
8.200000000000001066e+00,2.413165051499999687e+07,9.999719220887619304e+04
8.300000000000000711e+00,2.413165051499999687e+07,9.999719478205306223e+04
8.400000000000000355e+00,2.413165051499999687e+07,9.999719735522993142e+04
8.500000000000000000e+00,2.413165051499999687e+07,9.999719992840681516e+04
8.599999999999999645e+00,2.413165051499999687e+07,9.999720250158368435e+04
8.700000000000001066e+00,2.413165051499999687e+07,9.999720507476055354e+04
8.800000000000000711e+00,2.413165051499999687e+07,9.999720764793742273e+04
8.900000000000000355e+00,2.413165051499999687e+07,9.999721022111429193e+04
9.000000000000000000e+00,2.413165051499999687e+07,9.999721279429116112e+04
9.099999999999999645e+00,2.413165051499999687e+07,9.999721536746803031e+04
9.200000000000001066e+00,2.413165051499999687e+07,9.999721794064489950e+04
9.300000000000000711e+00,2.413165051499999687e+07,9.999722051382176869e+04
9.400000000000000355e+00,2.413165051499999687e+07,9.999722308699863788e+04
9.500000000000000000e+00,2.413165051499999687e+07,9.999722566017552163e+04
9.600000000000001421e+00,2.413165051499999687e+07,9.999722823335239082e+04
9.700000000000001066e+00,2.413165051499999687e+07,9.999723080652926001e+04
9.800000000000000711e+00,2.413165051499999687e+07,9.999723337970612920e+04
9.900000000000000355e+00,2.413165051499999687e+07,9.999723595288299839e+04
1.000000000000000000e+01,2.413165051499999687e+07,9.999723852605986758e+04
1.010000000000000142e+01,2.413165051499999687e+07,9.999724109923673677e+04
1.020000000000000107e+01,2.413165051499999687e+07,9.999724367241360596e+04
1.030000000000000071e+01,2.413165051499999687e+07,9.999724624559047516e+04
1.040000000000000036e+01,2.413165051499999687e+07,9.999724881876735890e+04
1.050000000000000000e+01,2.413165051499999687e+07,9.999725139194422809e+04
1.060000000000000142e+01,2.413165051499999687e+07,9.999725396512109728e+04
1.070000000000000107e+01,2.413165051499999687e+07,9.999725653829796647e+04
1.080000000000000071e+01,2.413165051499999687e+07,9.999725903387361905e+04
1.090000000000000036e+01,2.413165051499999687e+07,9.999726071324633085e+04
1.100000000000000000e+01,2.413165051499999687e+07,9.999726239261904266e+04
1.110000000000000142e+01,2.413165051499999687e+07,9.999726407199175446e+04
1.120000000000000107e+01,2.413165051499999687e+07,9.999726575136446627e+04
1.130000000000000071e+01,2.413165051499999687e+07,9.999726743073717807e+04
1.140000000000000036e+01,2.413165051499999687e+07,9.999726911010988988e+04
1.150000000000000000e+01,2.413165051499999687e+07,9.999727078948260169e+04
1.160000000000000142e+01,2.413165051499999687e+07,9.999727246885531349e+04
1.170000000000000107e+01,2.413165051499999687e+07,9.999727414822802530e+04
1.180000000000000071e+01,2.413165051499999687e+07,9.999727582760073710e+04
1.190000000000000036e+01,2.413165051499999687e+07,9.999727750697344891e+04
1.200000000000000000e+01,2.413165051499999687e+07,9.999727918634616071e+04
1.210000000000000142e+01,2.413165051499999687e+07,9.999728086571887252e+04
1.220000000000000107e+01,2.413165051499999687e+07,9.999728254509158432e+04
1.230000000000000071e+01,2.413165051499999687e+07,9.999728422446429613e+04
1.240000000000000036e+01,2.413165051499999687e+07,9.999728590383700794e+04
1.250000000000000000e+01,2.413165051499999687e+07,9.999728758320971974e+04
1.260000000000000142e+01,2.413165051499999687e+07,9.999728926258243155e+04
1.270000000000000107e+01,2.413165051499999687e+07,9.999729094195514335e+04
1.280000000000000071e+01,2.413165051499999687e+07,9.999729262132785516e+04
1.290000000000000036e+01,2.413165051499999687e+07,9.999729430070056696e+04
1.300000000000000000e+01,2.413165051499999687e+07,9.999729598007327877e+04
1.310000000000000142e+01,2.413165051499999687e+07,9.999729765944599058e+04
1.320000000000000107e+01,2.413165051499999687e+07,9.999729933881870238e+04
1.330000000000000071e+01,2.413165051499999687e+07,9.999730101819141419e+04
1.340000000000000036e+01,2.413165051499999687e+07,9.999730269756412599e+04
1.350000000000000000e+01,2.413165051499999687e+07,9.999730437693683780e+04
