t_s,P_acc_pa,P_act_pa
0.000000000000000000e+00,1.612152709221176058e+07,1.612159977773951739e+07
5.000000000000000000e-01,1.612152709221176058e+07,1.605236125940295309e+07
1.000000000000000000e+00,1.612152709221176058e+07,1.598348101348880865e+07
1.500000000000000000e+00,1.612152709221176058e+07,1.591541560624843836e+07
2.000000000000000000e+00,1.612152709221176058e+07,1.584735019900806993e+07
2.500000000000000000e+00,1.612152709221176058e+07,1.577928479176769964e+07
3.000000000000000000e+00,1.612152709221176058e+07,1.571121938452733122e+07
3.500000000000000000e+00,1.612152709221176058e+07,1.564315397728696093e+07
4.000000000000000000e+00,1.612152709221176058e+07,1.557508857004659250e+07
4.500000000000000000e+00,1.612152709221176058e+07,1.550702316280622222e+07
5.000000000000000000e+00,1.612152709221176058e+07,1.543902213038653508e+07
5.500000000000000000e+00,1.612152709221176058e+07,1.537163708812231757e+07
6.000000000000000000e+00,1.612152709221176058e+07,1.530439799283741415e+07
6.500000000000000000e+00,1.612152709221176058e+07,1.523730484453182667e+07
7.000000000000000000e+00,1.612152709221176058e+07,1.517035764320555329e+07
7.500000000000000000e+00,1.612152709221176058e+07,1.510355638885859586e+07
8.000000000000000000e+00,1.612152709221176058e+07,1.503690108149095252e+07
8.500000000000000000e+00,1.612152709221176058e+07,1.497039172110262513e+07
9.000000000000000000e+00,1.612152709221176058e+07,1.490402830769361183e+07
9.500000000000000000e+00,1.612152709221176058e+07,1.483773209807714261e+07
1.000000000000000000e+01,1.612152709221176058e+07,1.477157685166718066e+07
1.050000000000000000e+01,1.612152709221176058e+07,1.470556267098122463e+07
1.100000000000000000e+01,1.612152709221176058e+07,1.463968955601927638e+07
1.150000000000000000e+01,1.612152709221176058e+07,1.457395750678133219e+07
1.200000000000000000e+01,1.612152709221176058e+07,1.450836652326739393e+07
1.250000000000000000e+01,1.612152709221176058e+07,1.444291660547746345e+07
1.300000000000000000e+01,1.612152709221176058e+07,1.437760775341153704e+07
1.350000000000000000e+01,1.612152709221176058e+07,1.431243996706961840e+07
1.400000000000000000e+01,1.612152709221176058e+07,1.424741324645170383e+07
1.450000000000000000e+01,1.612152709221176058e+07,1.418252759155779704e+07
1.500000000000000000e+01,1.612152709221176058e+07,1.411778300238789432e+07
1.550000000000000000e+01,1.612152709221176058e+07,1.405317947894199938e+07
1.600000000000000000e+01,1.612152709221176058e+07,1.398871702122010849e+07
1.650000000000000000e+01,1.612152709221176058e+07,1.392439562922222540e+07
1.700000000000000000e+01,1.612152709221176058e+07,1.386021530294834822e+07
1.750000000000000000e+01,1.612152709221176058e+07,1.379617604239847511e+07
1.800000000000000000e+01,1.612152709221176058e+07,1.373227784757260978e+07
1.850000000000000000e+01,1.612152709221176058e+07,1.366852071847075038e+07
1.900000000000000000e+01,1.612152709221176058e+07,1.360490465509289503e+07
1.950000000000000000e+01,1.612152709221176058e+07,1.354142965743904747e+07
2.000000000000000000e+01,1.612152709221176058e+07,1.347809572550920583e+07
2.050000000000000000e+01,1.612152709221176058e+07,1.341490285930336826e+07
2.100000000000000000e+01,1.612152709221176058e+07,1.335185105882153846e+07
2.150000000000000000e+01,1.612152709221176058e+07,1.328894032406371459e+07
2.200000000000000000e+01,1.612152709221176058e+07,1.322617065502989665e+07
2.250000000000000000e+01,1.612152709221176058e+07,1.316354205172008462e+07
2.300000000000000000e+01,1.612152709221176058e+07,1.310105451413427852e+07
2.350000000000000000e+01,1.612152709221176058e+07,1.303870804227247834e+07
2.400000000000000000e+01,1.612152709221176058e+07,1.297650263613468222e+07
2.450000000000000000e+01,1.612152709221176058e+07,1.291443829572089389e+07
2.500000000000000000e+01,1.612152709221176058e+07,1.285256882761060447e+07
2.550000000000000000e+01,1.612152709221176058e+07,1.279086866276834533e+07
2.600000000000000000e+01,1.612152709221176058e+07,1.272931443430856802e+07
2.650000000000000000e+01,1.612152709221176058e+07,1.266790614223127812e+07
2.700000000000000000e+01,1.612152709221176058e+07,1.260664378653647192e+07
2.750000000000000000e+01,1.612152709221176058e+07,1.254552736722414941e+07
2.800000000000000000e+01,1.612152709221176058e+07,1.248455688429431245e+07
2.850000000000000000e+01,1.612152709221176058e+07,1.242373233774695918e+07
2.900000000000000000e+01,1.612152709221176058e+07,1.236305372758209147e+07
2.950000000000000000e+01,1.612152709221176058e+07,1.230252105379970744e+07
3.000000000000000000e+01,1.612152709221176058e+07,1.224213431639980897e+07
3.050000000000000000e+01,1.612152709221176058e+07,1.218189351538239606e+07
3.100000000000000000e+01,1.612152709221176058e+07,1.212179865074746497e+07
3.150000000000000000e+01,1.612152709221176058e+07,1.206184972249502130e+07
3.200000000000000000e+01,1.612152709221176058e+07,1.200204673062506132e+07
3.250000000000000000e+01,1.612152709221176058e+07,1.194238967513758503e+07
3.300000000000000000e+01,1.612152709221176058e+07,1.188287855603259429e+07
3.350000000000000000e+01,1.612152709221176058e+07,1.182351337331008725e+07
3.400000000000000000e+01,1.612152709221176058e+07,1.176429412697006576e+07
3.450000000000000000e+01,1.612152709221176058e+07,1.170522081701252796e+07
3.500000000000000000e+01,1.612152709221176058e+07,1.164629344343747571e+07
3.550000000000000000e+01,1.612152709221176058e+07,1.158751200624490902e+07
3.600000000000000000e+01,1.612152709221176058e+07,1.152887650543482415e+07
3.650000000000000000e+01,1.612152709221176058e+07,1.147038694100722671e+07
3.700000000000000000e+01,1.612152709221176058e+07,1.141204331296211295e+07
3.750000000000000000e+01,1.612152709221176058e+07,1.135384562129948288e+07
3.800000000000000000e+01,1.612152709221176058e+07,1.129579386601933837e+07
3.850000000000000000e+01,1.612152709221176058e+07,1.123788804712167755e+07
3.900000000000000000e+01,1.612152709221176058e+07,1.118012816460650228e+07
3.950000000000000000e+01,1.612152709221176058e+07,1.112251421847381070e+07
4.000000000000000000e+01,1.612152709221176058e+07,1.106504620872360468e+07
4.050000000000000000e+01,1.612152709221176058e+07,1.100774216693150997e+07
4.100000000000000000e+01,1.612152709221176058e+07,1.095061525518334284e+07
4.150000000000000000e+01,1.612152709221176058e+07,1.089363725660226680e+07
4.200000000000000000e+01,1.612152709221176058e+07,1.083680817118828557e+07
4.250000000000000000e+01,1.612152709221176058e+07,1.078012799894139916e+07
4.300000000000000000e+01,1.612152709221176058e+07,1.072359673986160383e+07
4.350000000000000000e+01,1.612152709221176058e+07,1.066721439394890331e+07
4.400000000000000000e+01,1.612152709221176058e+07,1.061098096120329574e+07
4.450000000000000000e+01,1.612152709221176058e+07,1.055489644162478112e+07
4.500000000000000000e+01,1.612152709221176058e+07,1.049896083521336131e+07
4.550000000000000000e+01,1.612152709221176058e+07,1.044317414196903445e+07
4.600000000000000000e+01,1.612152709221176058e+07,1.038753636189180054e+07
4.650000000000000000e+01,1.612152709221176058e+07,1.033204749498165958e+07
4.700000000000000000e+01,1.612152709221176058e+07,1.027670754123861343e+07
4.750000000000000000e+01,1.612152709221176058e+07,1.022151650066266023e+07
4.800000000000000000e+01,1.612152709221176058e+07,1.016647437325379997e+07
4.850000000000000000e+01,1.612152709221176058e+07,1.011158115901203454e+07
