t_s,P_acc_pa,P_act_pa
0.000000000000000000e+00,8.111419859742816538e+06,8.111516659840391017e+06
5.000000000000000000e-01,8.111419859742816538e+06,7.629457478437982500e+06
1.000000000000000000e+00,8.111419859742816538e+06,7.161887743140928447e+06
1.500000000000000000e+00,8.111419859742816538e+06,6.709139551430343650e+06
2.000000000000000000e+00,8.111419859742816538e+06,6.271239600755786523e+06
2.500000000000000000e+00,8.111419859742816538e+06,5.848341983564994298e+06
3.000000000000000000e+00,8.111419859742816538e+06,5.440482547843553126e+06
3.500000000000000000e+00,8.111419859742816538e+06,5.047654895614940673e+06
4.000000000000000000e+00,8.111419859742816538e+06,4.669815746919699945e+06
4.500000000000000000e+00,8.111419859742816538e+06,4.306965101757832803e+06
5.000000000000000000e+00,8.111419859742816538e+06,3.959102960129337851e+06
5.500000000000000000e+00,8.111419859742816538e+06,3.626229322034216020e+06
6.000000000000000000e+00,8.111419859742816538e+06,3.308361496319943108e+06
6.500000000000000000e+00,8.111419859742816538e+06,3.005530858761118259e+06
7.000000000000000000e+00,8.111419859742816538e+06,2.717705317092826590e+06
7.500000000000000000e+00,8.111419859742816538e+06,2.444884871315067168e+06
8.000000000000000000e+00,8.111419859742816538e+06,2.187069521427840926e+06
8.500000000000000000e+00,8.111419859742816538e+06,1.944259267431147397e+06
9.000000000000000000e+00,8.111419859742816538e+06,1.716454109324986581e+06
9.500000000000000000e+00,8.111419859742816538e+06,1.503672103388539748e+06
1.000000000000000000e+01,8.111419859742816538e+06,1.305900382461760193e+06
1.050000000000000000e+01,8.111419859742816538e+06,1.123138755323897116e+06
1.100000000000000000e+01,8.111419859742816538e+06,9.553872219749502838e+05
1.150000000000000000e+01,8.111419859742816538e+06,8.026457824149199296e+05
1.200000000000000000e+01,8.111419859742816538e+06,6.649144366438059369e+05
1.250000000000000000e+01,8.111419859742816538e+06,5.421935301745245233e+05
1.300000000000000000e+01,8.111419859742816538e+06,4.344831044473414076e+05
1.350000000000000000e+01,8.111419859742816538e+06,3.417830255311194924e+05
1.400000000000000000e+01,8.111419859742816538e+06,2.640931199929669965e+05
1.450000000000000000e+01,8.111419859742816538e+06,2.014125549265982700e+05
1.500000000000000000e+01,8.111419859742816538e+06,1.537418508239981893e+05
1.550000000000000000e+01,8.111419859742816538e+06,1.210810076851667109e+05
1.600000000000000000e+01,8.111419859742816538e+06,1.034297404407586873e+05
1.650000000000000000e+01,8.111419859742816538e+06,9.999411281672734185e+04
1.700000000000000000e+01,8.111419859742816538e+06,9.999450969621085096e+04
1.750000000000000000e+01,8.111419859742816538e+06,9.999470409140597621e+04
1.800000000000000000e+01,8.111419859742816538e+06,9.999489848660110147e+04
1.850000000000000000e+01,8.111419859742816538e+06,9.999509288179622672e+04
1.900000000000000000e+01,8.111419859742816538e+06,9.999528671726856555e+04
1.950000000000000000e+01,8.111419859742816538e+06,9.999543394160387106e+04
2.000000000000000000e+01,8.111419859742816538e+06,9.999558116593919112e+04
2.050000000000000000e+01,8.111419859742816538e+06,9.999572839027449663e+04
2.100000000000000000e+01,8.111419859742816538e+06,9.999587561460981669e+04
2.150000000000000000e+01,8.111419859742816538e+06,9.999333841709719854e+04
2.200000000000000000e+01,8.111419859742816538e+06,9.998952996401856944e+04
2.250000000000000000e+01,8.111419859742816538e+06,9.998572151093995490e+04
2.300000000000000000e+01,8.111419859742816538e+06,9.998191305786132580e+04
2.350000000000000000e+01,8.111419859742816538e+06,9.997810460478271125e+04
2.400000000000000000e+01,8.111419859742816538e+06,9.997429615170408215e+04
2.450000000000000000e+01,8.111419859742816538e+06,9.997048769862546760e+04
2.500000000000000000e+01,8.111419859742816538e+06,9.996667924554683850e+04
2.550000000000000000e+01,8.111419859742816538e+06,9.996287079246822395e+04
2.600000000000000000e+01,8.111419859742816538e+06,9.995906233938960941e+04
2.650000000000000000e+01,8.111419859742816538e+06,9.995525388631098031e+04
2.700000000000000000e+01,8.111419859742816538e+06,9.995144543323236576e+04
2.750000000000000000e+01,8.111419859742816538e+06,9.994763698015373666e+04
2.800000000000000000e+01,8.111419859742816538e+06,9.994382852707512211e+04
2.850000000000000000e+01,8.111419859742816538e+06,9.994002007399649301e+04
2.900000000000000000e+01,8.111419859742816538e+06,9.993621162091787846e+04
2.950000000000000000e+01,8.111419859742816538e+06,9.993240316783924936e+04
3.000000000000000000e+01,8.111419859742816538e+06,9.992859471476063482e+04
3.050000000000000000e+01,8.111419859742816538e+06,9.992478626168200572e+04
3.100000000000000000e+01,8.111419859742816538e+06,9.992097780860339117e+04
3.150000000000000000e+01,8.111419859742816538e+06,9.991716935552476207e+04
3.200000000000000000e+01,8.111419859742816538e+06,9.991336090244614752e+04
3.250000000000000000e+01,8.111419859742816538e+06,9.990955244936753297e+04
3.300000000000000000e+01,8.111419859742816538e+06,9.990574399628890387e+04
3.350000000000000000e+01,8.111419859742816538e+06,9.990193554321028932e+04
3.400000000000000000e+01,8.111419859742816538e+06,9.989812709013166022e+04
3.450000000000000000e+01,8.111419859742816538e+06,9.989431863705304568e+04
3.500000000000000000e+01,8.111419859742816538e+06,9.989051018397441658e+04
3.550000000000000000e+01,8.111419859742816538e+06,9.988670173089580203e+04
3.600000000000000000e+01,8.111419859742816538e+06,9.988289327781717293e+04
3.650000000000000000e+01,8.111419859742816538e+06,9.987908482473855838e+04
3.700000000000000000e+01,8.111419859742816538e+06,9.987527637165992928e+04
3.750000000000000000e+01,8.111419859742816538e+06,9.987146791858131473e+04
3.800000000000000000e+01,8.111419859742816538e+06,9.986765946550268563e+04
3.850000000000000000e+01,8.111419859742816538e+06,9.986385101242407109e+04
3.900000000000000000e+01,8.111419859742816538e+06,9.986004255934545654e+04
3.950000000000000000e+01,8.111419859742816538e+06,9.985623410626682744e+04
4.000000000000000000e+01,8.111419859742816538e+06,9.985242565318821289e+04
4.050000000000000000e+01,8.111419859742816538e+06,9.984861720010958379e+04
4.100000000000000000e+01,8.111419859742816538e+06,9.984480874703096924e+04
4.150000000000000000e+01,8.111419859742816538e+06,9.984100029395234014e+04
4.200000000000000000e+01,8.111419859742816538e+06,9.983719184087372560e+04
4.250000000000000000e+01,8.111419859742816538e+06,9.983338338779509650e+04
4.300000000000000000e+01,8.111419859742816538e+06,9.983068763658110402e+04
4.350000000000000000e+01,8.111419859742816538e+06,9.983009306795701559e+04
4.400000000000000000e+01,8.111419859742816538e+06,9.982949849933292717e+04
4.450000000000000000e+01,8.111419859742816538e+06,9.982890393070883874e+04
4.500000000000000000e+01,8.111419859742816538e+06,9.982830936208475032e+04
4.550000000000000000e+01,8.111419859742816538e+06,9.982771479346066189e+04
4.600000000000000000e+01,8.111419859742816538e+06,9.982712022483657347e+04
4.650000000000000000e+01,8.111419859742816538e+06,9.982652565621248505e+04
4.700000000000000000e+01,8.111419859742816538e+06,9.982593108758839662e+04
4.750000000000000000e+01,8.111419859742816538e+06,9.982533651896430820e+04
4.800000000000000000e+01,8.111419859742816538e+06,9.982474195034021977e+04
4.850000000000000000e+01,8.111419859742816538e+06,9.982414738171613135e+04
4.900000000000000000e+01,8.111419859742816538e+06,9.982355281309204292e+04
4.950000000000000000e+01,8.111419859742816538e+06,9.982295824446795450e+04
5.000000000000000000e+01,8.111419859742816538e+06,9.982236367584386608e+04
5.050000000000000000e+01,8.111419859742816538e+06,9.982176910721977765e+04
5.100000000000000000e+01,8.111419859742816538e+06,9.982117453859568923e+04
5.150000000000000000e+01,8.111419859742816538e+06,9.982057996997160080e+04
5.200000000000000000e+01,8.111419859742816538e+06,9.981998540134751238e+04
5.250000000000000000e+01,8.111419859742816538e+06,9.981939083272342396e+04
5.300000000000000000e+01,8.111419859742816538e+06,9.981879626409933553e+04
5.350000000000000000e+01,8.111419859742816538e+06,9.981820169547524711e+04
5.400000000000000000e+01,8.111419859742816538e+06,9.981760712685115868e+04
5.450000000000000000e+01,8.111419859742816538e+06,9.981701255822707026e+04
5.500000000000000000e+01,8.111419859742816538e+06,9.981641798960298183e+04
5.550000000000000000e+01,8.111419859742816538e+06,9.981582342097889341e+04
5.600000000000000000e+01,8.111419859742816538e+06,9.981522885235480499e+04
5.650000000000000000e+01,8.111419859742816538e+06,9.981463428373071656e+04
5.700000000000000000e+01,8.111419859742816538e+06,9.981403971510662814e+04
5.750000000000000000e+01,8.111419859742816538e+06,9.981344514648253971e+04
5.800000000000000000e+01,8.111419859742816538e+06,9.981285057785845129e+04
5.850000000000000000e+01,8.111419859742816538e+06,9.981225600923436286e+04
5.900000000000000000e+01,8.111419859742816538e+06,9.981166144061027444e+04
5.950000000000000000e+01,8.111419859742816538e+06,9.981106687198618602e+04
6.000000000000000000e+01,8.111419859742816538e+06,9.981047230336209759e+04
6.050000000000000000e+01,8.111419859742816538e+06,9.980987773473800917e+04
6.100000000000000000e+01,8.111419859742816538e+06,9.980928316611392074e+04
6.150000000000000000e+01,8.111419859742816538e+06,9.980868859748983232e+04
6.200000000000000000e+01,8.111419859742816538e+06,9.980809402886574389e+04
6.250000000000000000e+01,8.111419859742816538e+06,9.980749946024165547e+04
6.300000000000000000e+01,8.111419859742816538e+06,9.980690489161756705e+04
6.350000000000000000e+01,8.111419859742816538e+06,9.980631032299347862e+04
6.400000000000000000e+01,8.111419859742816538e+06,9.980571575436939020e+04
6.450000000000000000e+01,8.111419859742816538e+06,9.980512811445236730e+04
6.500000000000000000e+01,8.111419859742816538e+06,9.980503529150261602e+04
6.550000000000000000e+01,8.111419859742816538e+06,9.980494246855286474e+04
6.600000000000000000e+01,8.111419859742816538e+06,9.980484964560311346e+04
6.650000000000000000e+01,8.111419859742816538e+06,9.980475682265334763e+04
6.700000000000000000e+01,8.111419859742816538e+06,9.980466399970359635e+04
6.750000000000000000e+01,8.111419859742816538e+06,9.980457117675384507e+04
6.800000000000000000e+01,8.111419859742816538e+06,9.980447835380409379e+04
6.850000000000000000e+01,8.111419859742816538e+06,9.980438553085434251e+04
6.900000000000000000e+01,8.111419859742816538e+06,9.980429270790459123e+04
6.950000000000000000e+01,8.111419859742816538e+06,9.980419988495483994e+04
7.000000000000000000e+01,8.111419859742816538e+06,9.980410706200508866e+04
7.050000000000000000e+01,8.111419859742816538e+06,9.980401423905533738e+04
7.100000000000000000e+01,8.111419859742816538e+06,9.980392141610558610e+04
7.150000000000000000e+01,8.111419859742816538e+06,9.980382859315583482e+04
7.200000000000000000e+01,8.111419859742816538e+06,9.980373577020608354e+04
7.250000000000000000e+01,8.111419859742816538e+06,9.980364294725633226e+04
7.300000000000000000e+01,8.111419859742816538e+06,9.980355012430658098e+04
7.350000000000000000e+01,8.111419859742816538e+06,9.980345730135682970e+04
7.400000000000000000e+01,8.111419859742816538e+06,9.980336447840706387e+04
7.450000000000000000e+01,8.111419859742816538e+06,9.980327165545731259e+04
7.500000000000000000e+01,8.111419859742816538e+06,9.980317883250756131e+04
7.550000000000000000e+01,8.111419859742816538e+06,9.980308600955781003e+04
7.600000000000000000e+01,8.111419859742816538e+06,9.980299318660805875e+04
7.650000000000000000e+01,8.111419859742816538e+06,9.980290036365830747e+04
7.700000000000000000e+01,8.111419859742816538e+06,9.980280754070855619e+04
7.750000000000000000e+01,8.111419859742816538e+06,9.980271471775880491e+04
7.800000000000000000e+01,8.111419859742816538e+06,9.980262189480905363e+04
7.850000000000000000e+01,8.111419859742816538e+06,9.980252907185930235e+04
7.900000000000000000e+01,8.111419859742816538e+06,9.980243624890955107e+04
7.950000000000000000e+01,8.111419859742816538e+06,9.980234342595979979e+04
