t_s,P_acc_pa,P_act_pa
0.000000000000000000e+00,8.111451751598076895e+06,8.111452876129843295e+06
5.000000000000000000e-01,8.111451751598076895e+06,8.062487746141301468e+06
1.000000000000000000e+00,8.111451751598076895e+06,8.013672709949855693e+06
1.500000000000000000e+00,8.111451751598076895e+06,7.965007767515862361e+06
2.000000000000000000e+00,8.111451751598076895e+06,7.916492918862022460e+06
2.500000000000000000e+00,8.111451751598076895e+06,7.868128164013208821e+06
3.000000000000000000e+00,8.111451751598076895e+06,7.819913502988644876e+06
3.500000000000000000e+00,8.111451751598076895e+06,7.771848935801905580e+06
4.000000000000000000e+00,8.111451751598076895e+06,7.723934462460918352e+06
4.500000000000000000e+00,8.111451751598076895e+06,7.676170082967961207e+06
5.000000000000000000e+00,8.111451751598076895e+06,7.628555797319663689e+06
5.500000000000000000e+00,8.111451751598076895e+06,7.581091605507007800e+06
6.000000000000000000e+00,8.111451751598076895e+06,7.533777507515325211e+06
6.500000000000000000e+00,8.111451751598076895e+06,7.486613503324300051e+06
7.000000000000000000e+00,8.111451751598076895e+06,7.439599592907968909e+06
7.500000000000000000e+00,8.111451751598076895e+06,7.392735773371689953e+06
8.000000000000000000e+00,8.111451751598076895e+06,7.346022031238021329e+06
8.500000000000000000e+00,8.111451751598076895e+06,7.299458366572702304e+06
9.000000000000000000e+00,8.111451751598076895e+06,7.253044781400952488e+06
9.500000000000000000e+00,8.111451751598076895e+06,7.206781277667064220e+06
1.000000000000000000e+01,8.111451751598076895e+06,7.160667857234398834e+06
1.050000000000000000e+01,8.111451751598076895e+06,7.114704521885391325e+06
1.100000000000000000e+01,8.111451751598076895e+06,7.068891273321549408e+06
1.150000000000000000e+01,8.111451751598076895e+06,7.023228113163448870e+06
1.200000000000000000e+01,8.111451751598076895e+06,6.977715042950740084e+06
1.250000000000000000e+01,8.111451751598076895e+06,6.932352064142145216e+06
1.300000000000000000e+01,8.111451751598076895e+06,6.887139178115455434e+06
1.350000000000000000e+01,8.111451751598076895e+06,6.842076386167535558e+06
1.400000000000000000e+01,8.111451751598076895e+06,6.797163689514321275e+06
1.450000000000000000e+01,8.111451751598076895e+06,6.752401089290821925e+06
