t_s,P_acc_pa,P_act_pa
0.000000000000000000e+00,1.932558590857301280e+07,1.932561135787088796e+07
5.000000000000000000e-01,1.932558590857301280e+07,1.783901117758416384e+07
1.000000000000000000e+00,1.932558590857301280e+07,1.641048700423721783e+07
1.500000000000000000e+00,1.932558590857301280e+07,1.504128806786749698e+07
2.000000000000000000e+00,1.932558590857301280e+07,1.373192856185086071e+07
2.500000000000000000e+00,1.932558590857301280e+07,1.248267163837100565e+07
3.000000000000000000e+00,1.932558590857301280e+07,1.129349812105471827e+07
3.500000000000000000e+00,1.932558590857301280e+07,1.016427236916436069e+07
4.000000000000000000e+00,1.932558590857301280e+07,9.094994382699929178e+06
4.500000000000000000e+00,1.932558590857301280e+07,8.085664161661426537e+06
5.000000000000000000e+00,1.932558590857301280e+07,7.136455560026060790e+06
5.500000000000000000e+00,1.932558590857301280e+07,6.247290246228128672e+06
6.000000000000000000e+00,1.932558590857301280e+07,5.418144415085307322e+06
6.500000000000000000e+00,1.932558590857301280e+07,4.649018066597596742e+06
7.000000000000000000e+00,1.932558590857301280e+07,3.939914278436858673e+06
7.500000000000000000e+00,1.932558590857301280e+07,3.290889421935976949e+06
8.000000000000000000e+00,1.932558590857301280e+07,2.701905181449338328e+06
8.500000000000000000e+00,1.932558590857301280e+07,2.172961556976941414e+06
9.000000000000000000e+00,1.932558590857301280e+07,1.704058548518785741e+06
9.500000000000000000e+00,1.932558590857301280e+07,1.295196636308080982e+06
1.000000000000000000e+01,1.932558590857301280e+07,9.463775071103337687e+05
1.050000000000000000e+01,1.932558590857301280e+07,6.576002898518708535e+05
1.100000000000000000e+01,1.932558590857301280e+07,4.288621938041489921e+05
1.150000000000000000e+01,1.932558590857301280e+07,2.601627523491613392e+05
1.200000000000000000e+01,1.932558590857301280e+07,1.515027728132170741e+05
1.250000000000000000e+01,1.932558590857301280e+07,1.028817753874478512e+05
1.300000000000000000e+01,1.932558590857301280e+07,9.991007739515244612e+04
1.350000000000000000e+01,1.932558590857301280e+07,9.990945207128451148e+04
1.400000000000000000e+01,1.932558590857301280e+07,9.990936545510058932e+04
1.450000000000000000e+01,1.932558590857301280e+07,9.990927883891666715e+04
1.500000000000000000e+01,1.932558590857301280e+07,9.990919222273275955e+04
1.550000000000000000e+01,1.932558590857301280e+07,9.990910560654883739e+04
1.600000000000000000e+01,1.932558590857301280e+07,9.990904897037529736e+04
1.650000000000000000e+01,1.932558590857301280e+07,9.990903544801747194e+04
1.700000000000000000e+01,1.932558590857301280e+07,9.990902192565964651e+04
1.750000000000000000e+01,1.932558590857301280e+07,9.990900840330182109e+04
1.800000000000000000e+01,1.932558590857301280e+07,9.990899488094399567e+04
