t_s,P_acc_pa,P_act_pa
0.000000000000000000e+00,9.411154239272912964e+06,9.411169889436557889e+06
5.000000000000000000e-01,9.411154239272912964e+06,9.149048358941160142e+06
1.000000000000000000e+00,9.411154239272912964e+06,8.890579129582447931e+06
1.500000000000000000e+00,9.411154239272912964e+06,8.635754549896471202e+06
2.000000000000000000e+00,9.411154239272912964e+06,8.384595958166071214e+06
2.500000000000000000e+00,9.411154239272912964e+06,8.137201125527203083e+06
3.000000000000000000e+00,9.411154239272912964e+06,7.893513234099244699e+06
3.500000000000000000e+00,9.411154239272912964e+06,7.653538353319867514e+06
4.000000000000000000e+00,9.411154239272912964e+06,7.417336627731270157e+06
4.500000000000000000e+00,9.411154239272912964e+06,7.184875303268164396e+06
5.000000000000000000e+00,9.411154239272912964e+06,6.956155417013909668e+06
5.500000000000000000e+00,9.411154239272912964e+06,6.731234239046793431e+06
6.000000000000000000e+00,9.411154239272912964e+06,6.510061218440545723e+06
6.500000000000000000e+00,9.411154239272912964e+06,6.292636355195162818e+06
7.000000000000000000e+00,9.411154239272912964e+06,6.078959649310648441e+06
7.500000000000000000e+00,9.411154239272912964e+06,5.869031100787000731e+06
8.000000000000000000e+00,9.411154239272912964e+06,5.662850709624219686e+06
8.500000000000000000e+00,9.411154239272912964e+06,5.460418475822306238e+06
9.000000000000000000e+00,9.411154239272912964e+06,5.261734399381259456e+06
9.500000000000000000e+00,9.411154239272912964e+06,5.066798480301079340e+06
1.000000000000000000e+01,9.411154239272912964e+06,4.875610718581765890e+06
1.050000000000000000e+01,9.411154239272912964e+06,4.688171114223320037e+06
1.100000000000000000e+01,9.411154239272912964e+06,4.504479667225739919e+06
1.150000000000000000e+01,9.411154239272912964e+06,4.324536377589027397e+06
1.200000000000000000e+01,9.411154239272912964e+06,4.148341245313182008e+06
1.250000000000000000e+01,9.411154239272912964e+06,3.975912872269648127e+06
1.300000000000000000e+01,9.411154239272912964e+06,3.807241612677807454e+06
1.350000000000000000e+01,9.411154239272912964e+06,3.642321796524618287e+06
1.400000000000000000e+01,9.411154239272912964e+06,3.481153423810081556e+06
1.450000000000000000e+01,9.411154239272912964e+06,3.323736494534196332e+06
1.500000000000000000e+01,9.411154239272912964e+06,3.170071008696963079e+06
1.550000000000000000e+01,9.411154239272912964e+06,3.020156966298381798e+06
1.600000000000000000e+01,9.411154239272912964e+06,2.873994367338452023e+06
1.650000000000000000e+01,9.411154239272912964e+06,2.731583211817174219e+06
1.700000000000000000e+01,9.411154239272912964e+06,2.592923499734548852e+06
1.750000000000000000e+01,9.411154239272912964e+06,2.458015231090575457e+06
1.800000000000000000e+01,9.411154239272912964e+06,2.326858405885253567e+06
1.850000000000000000e+01,9.411154239272912964e+06,2.199453024118583649e+06
1.900000000000000000e+01,9.411154239272912964e+06,2.075799085790565703e+06
1.950000000000000000e+01,9.411154239272912964e+06,1.955900319017267786e+06
2.000000000000000000e+01,9.411154239272912964e+06,1.839757661853530444e+06
2.050000000000000000e+01,9.411154239272912964e+06,1.727367481730670668e+06
2.100000000000000000e+01,9.411154239272912964e+06,1.618729778648688924e+06
2.150000000000000000e+01,9.411154239272912964e+06,1.513844552607585676e+06
2.200000000000000000e+01,9.411154239272912964e+06,1.412711803607360227e+06
2.250000000000000000e+01,9.411154239272912964e+06,1.315331531648012809e+06
2.300000000000000000e+01,9.411154239272912964e+06,1.221703736729543656e+06
2.350000000000000000e+01,9.411154239272912964e+06,1.131828418851952534e+06
2.400000000000000000e+01,9.411154239272912964e+06,1.045705578015239327e+06
2.450000000000000000e+01,9.411154239272912964e+06,9.633352142194043845e+05
2.500000000000000000e+01,9.411154239272912964e+06,8.847173274644475896e+05
2.550000000000000000e+01,9.411154239272912964e+06,8.098519177503687097e+05
2.600000000000000000e+01,9.411154239272912964e+06,7.387389850771679776e+05
2.650000000000000000e+01,9.411154239272912964e+06,6.713785670094175730e+05
2.700000000000000000e+01,9.411154239272912964e+06,6.077707811984801665e+05
2.750000000000000000e+01,9.411154239272912964e+06,5.479155134806071874e+05
2.800000000000000000e+01,9.411154239272912964e+06,4.918127638557992177e+05
2.850000000000000000e+01,9.411154239272912964e+06,4.394625323240558500e+05
2.900000000000000000e+01,9.411154239272912964e+06,3.908648188853772008e+05
2.950000000000000000e+01,9.411154239272912964e+06,3.460196235397632699e+05
3.000000000000000000e+01,9.411154239272912964e+06,3.049269462872140575e+05
3.050000000000000000e+01,9.411154239272912964e+06,2.675866904876974877e+05
3.100000000000000000e+01,9.411154239272912964e+06,2.339986508392169490e+05
3.150000000000000000e+01,9.411154239272912964e+06,2.041630454094030720e+05
3.200000000000000000e+01,9.411154239272912964e+06,1.780798741982558277e+05
3.250000000000000000e+01,9.411154239272912964e+06,1.557491372057752451e+05
3.300000000000000000e+01,9.411154239272912964e+06,1.371708344319613534e+05
3.350000000000000000e+01,9.411154239272912964e+06,1.223449658768140944e+05
3.400000000000000000e+01,9.411154239272912964e+06,1.112715315403335262e+05
3.450000000000000000e+01,9.411154239272912964e+06,1.039505118224261241e+05
