t_s,P_acc_pa,P_act_pa
0.000000000000000000e+00,1.032333205151907052e+06,1.032333205110804760e+06
5.000000000000000000e-01,1.032333205151907052e+06,3.842017698926574667e+05
1.000000000000000000e+00,1.032333205151907052e+06,1.100155243645933224e+05
1.500000000000000000e+00,1.032333205151907052e+06,9.996409946954921179e+04
2.000000000000000000e+00,1.032333205151907052e+06,9.995657053407673084e+04
2.500000000000000000e+00,1.032333205151907052e+06,9.995574944744289678e+04
3.000000000000000000e+00,1.032333205151907052e+06,9.995545473375295114e+04
3.500000000000000000e+00,1.032333205151907052e+06,9.995516002006300550e+04
4.000000000000000000e+00,1.032333205151907052e+06,9.995486530637305987e+04
4.500000000000000000e+00,1.032333205151907052e+06,9.995457059268311423e+04
5.000000000000000000e+00,1.032333205151907052e+06,9.995450788397488941e+04
5.500000000000000000e+00,1.032333205151907052e+06,9.995446187382076459e+04
6.000000000000000000e+00,1.032333205151907052e+06,9.995441586366662523e+04
6.500000000000000000e+00,1.032333205151907052e+06,9.995436985351250041e+04
7.000000000000000000e+00,1.032333205151907052e+06,9.995433145868565771e+04
7.500000000000000000e+00,1.032333205151907052e+06,9.995432427566581464e+04
8.000000000000000000e+00,1.032333205151907052e+06,9.995431709264597157e+04
8.500000000000000000e+00,1.032333205151907052e+06,9.995430990962612850e+04
9.000000000000000000e+00,1.032333205151907052e+06,9.995430272660628543e+04
9.500000000000000000e+00,1.032333205151907052e+06,9.995429554358644236e+04
1.000000000000000000e+01,1.032333205151907052e+06,9.995428836056659929e+04
1.050000000000000000e+01,1.032333205151907052e+06,9.995428117754675623e+04
1.100000000000000000e+01,1.032333205151907052e+06,9.995427399452691316e+04
1.150000000000000000e+01,1.032333205151907052e+06,9.995426681150707009e+04
1.200000000000000000e+01,1.032333205151907052e+06,9.995425962848722702e+04
1.250000000000000000e+01,1.032333205151907052e+06,9.995425244546738395e+04
1.300000000000000000e+01,1.032333205151907052e+06,9.995424526244754088e+04
1.350000000000000000e+01,1.032333205151907052e+06,9.995423807942769781e+04
1.400000000000000000e+01,1.032333205151907052e+06,9.995423089640786930e+04
1.450000000000000000e+01,1.032333205151907052e+06,9.995422371338802623e+04
1.500000000000000000e+01,1.032333205151907052e+06,9.995421653036818316e+04
1.550000000000000000e+01,1.032333205151907052e+06,9.995420934734834009e+04
1.600000000000000000e+01,1.032333205151907052e+06,9.995420216432849702e+04
1.650000000000000000e+01,1.032333205151907052e+06,9.995419498130865395e+04
1.700000000000000000e+01,1.032333205151907052e+06,9.995418779828881088e+04
1.750000000000000000e+01,1.032333205151907052e+06,9.995418061526896781e+04
1.800000000000000000e+01,1.032333205151907052e+06,9.995417343224912474e+04
1.850000000000000000e+01,1.032333205151907052e+06,9.995416624922928168e+04
1.900000000000000000e+01,1.032333205151907052e+06,9.995415906620943861e+04
1.950000000000000000e+01,1.032333205151907052e+06,9.995415188318959554e+04
2.000000000000000000e+01,1.032333205151907052e+06,9.995414470016975247e+04
2.050000000000000000e+01,1.032333205151907052e+06,9.995413751714990940e+04
2.100000000000000000e+01,1.032333205151907052e+06,9.995413033413006633e+04
2.150000000000000000e+01,1.032333205151907052e+06,9.995412315111022326e+04
2.200000000000000000e+01,1.032333205151907052e+06,9.995411596809038019e+04
2.250000000000000000e+01,1.032333205151907052e+06,9.995410878507053712e+04
2.300000000000000000e+01,1.032333205151907052e+06,9.995410160205069405e+04
2.350000000000000000e+01,1.032333205151907052e+06,9.995409441903085099e+04
2.400000000000000000e+01,1.032333205151907052e+06,9.995408723601100792e+04
2.450000000000000000e+01,1.032333205151907052e+06,9.995408005299116485e+04
2.500000000000000000e+01,1.032333205151907052e+06,9.995407286997132178e+04
2.550000000000000000e+01,1.032333205151907052e+06,9.995406568695147871e+04
2.600000000000000000e+01,1.032333205151907052e+06,9.995405850393163564e+04
2.650000000000000000e+01,1.032333205151907052e+06,9.995405132091179257e+04
2.700000000000000000e+01,1.032333205151907052e+06,9.995404413789194950e+04
2.750000000000000000e+01,1.032333205151907052e+06,9.995403695487210643e+04
2.800000000000000000e+01,1.032333205151907052e+06,9.995402977185226337e+04
2.850000000000000000e+01,1.032333205151907052e+06,9.995402258883243485e+04
2.900000000000000000e+01,1.032333205151907052e+06,9.995401540581259178e+04
2.950000000000000000e+01,1.032333205151907052e+06,9.995400822279274871e+04
3.000000000000000000e+01,1.032333205151907052e+06,9.995400103977290564e+04
3.050000000000000000e+01,1.032333205151907052e+06,9.995399385675306257e+04
3.100000000000000000e+01,1.032333205151907052e+06,9.995399169820897805e+04
3.150000000000000000e+01,1.032333205151907052e+06,9.995399057680925762e+04
3.200000000000000000e+01,1.032333205151907052e+06,9.995398945540953719e+04
3.250000000000000000e+01,1.032333205151907052e+06,9.995398833400981675e+04
3.300000000000000000e+01,1.032333205151907052e+06,9.995398721261009632e+04
3.350000000000000000e+01,1.032333205151907052e+06,9.995398609121036134e+04
3.400000000000000000e+01,1.032333205151907052e+06,9.995398496981064091e+04
3.450000000000000000e+01,1.032333205151907052e+06,9.995398384841092047e+04
3.500000000000000000e+01,1.032333205151907052e+06,9.995398272701120004e+04
3.550000000000000000e+01,1.032333205151907052e+06,9.995398160561147961e+04
3.600000000000000000e+01,1.032333205151907052e+06,9.995398048421175918e+04
3.650000000000000000e+01,1.032333205151907052e+06,9.995397936281203874e+04
3.700000000000000000e+01,1.032333205151907052e+06,9.995397824141231831e+04
3.750000000000000000e+01,1.032333205151907052e+06,9.995397712001258333e+04
3.800000000000000000e+01,1.032333205151907052e+06,9.995397599861286290e+04
3.850000000000000000e+01,1.032333205151907052e+06,9.995397487721314246e+04
3.900000000000000000e+01,1.032333205151907052e+06,9.995397375581342203e+04
3.950000000000000000e+01,1.032333205151907052e+06,9.995397263441370160e+04
4.000000000000000000e+01,1.032333205151907052e+06,9.995397151301398117e+04
4.050000000000000000e+01,1.032333205151907052e+06,9.995397039161426073e+04
4.100000000000000000e+01,1.032333205151907052e+06,9.995396927021454030e+04
4.150000000000000000e+01,1.032333205151907052e+06,9.995396814881480532e+04
4.200000000000000000e+01,1.032333205151907052e+06,9.995396702741508489e+04
4.250000000000000000e+01,1.032333205151907052e+06,9.995396590601536445e+04
4.300000000000000000e+01,1.032333205151907052e+06,9.995396478461564402e+04
4.350000000000000000e+01,1.032333205151907052e+06,9.995396366321592359e+04
4.400000000000000000e+01,1.032333205151907052e+06,9.995396254181620316e+04
4.450000000000000000e+01,1.032333205151907052e+06,9.995396142041648272e+04
4.500000000000000000e+01,1.032333205151907052e+06,9.995396029901676229e+04
4.550000000000000000e+01,1.032333205151907052e+06,9.995395917761702731e+04
4.600000000000000000e+01,1.032333205151907052e+06,9.995395805621730688e+04
4.650000000000000000e+01,1.032333205151907052e+06,9.995395693481758644e+04
4.700000000000000000e+01,1.032333205151907052e+06,9.995395581341786601e+04
4.750000000000000000e+01,1.032333205151907052e+06,9.995395469201814558e+04
4.800000000000000000e+01,1.032333205151907052e+06,9.995395357061842515e+04
4.850000000000000000e+01,1.032333205151907052e+06,9.995395244921870471e+04
4.900000000000000000e+01,1.032333205151907052e+06,9.995395132781898428e+04
4.950000000000000000e+01,1.032333205151907052e+06,9.995395020641924930e+04
5.000000000000000000e+01,1.032333205151907052e+06,9.995394908501952887e+04
5.050000000000000000e+01,1.032333205151907052e+06,9.995394796361980843e+04
5.100000000000000000e+01,1.032333205151907052e+06,9.995394684222008800e+04
5.150000000000000000e+01,1.032333205151907052e+06,9.995394572082036757e+04
5.200000000000000000e+01,1.032333205151907052e+06,9.995394459942064714e+04
5.250000000000000000e+01,1.032333205151907052e+06,9.995394347802092670e+04
5.300000000000000000e+01,1.032333205151907052e+06,9.995394235662120627e+04
5.350000000000000000e+01,1.032333205151907052e+06,9.995394123522147129e+04
5.400000000000000000e+01,1.032333205151907052e+06,9.995394011382175086e+04
5.450000000000000000e+01,1.032333205151907052e+06,9.995393942930939374e+04
5.500000000000000000e+01,1.032333205151907052e+06,9.995393925423854671e+04
5.550000000000000000e+01,1.032333205151907052e+06,9.995393907916769967e+04
5.600000000000000000e+01,1.032333205151907052e+06,9.995393890409686719e+04
5.650000000000000000e+01,1.032333205151907052e+06,9.995393872902602016e+04
5.700000000000000000e+01,1.032333205151907052e+06,9.995393855395517312e+04
5.750000000000000000e+01,1.032333205151907052e+06,9.995393837888434064e+04
5.800000000000000000e+01,1.032333205151907052e+06,9.995393820381349360e+04
5.850000000000000000e+01,1.032333205151907052e+06,9.995393802874264657e+04
5.900000000000000000e+01,1.032333205151907052e+06,9.995393785367179953e+04
5.950000000000000000e+01,1.032333205151907052e+06,9.995393767860096705e+04
6.000000000000000000e+01,1.032333205151907052e+06,9.995393750353012001e+04
6.050000000000000000e+01,1.032333205151907052e+06,9.995393732845927298e+04
6.100000000000000000e+01,1.032333205151907052e+06,9.995393715338844049e+04
6.150000000000000000e+01,1.032333205151907052e+06,9.995393697831759346e+04
6.200000000000000000e+01,1.032333205151907052e+06,9.995393680324674642e+04
6.250000000000000000e+01,1.032333205151907052e+06,9.995393662817591394e+04
6.300000000000000000e+01,1.032333205151907052e+06,9.995393645310506690e+04
6.350000000000000000e+01,1.032333205151907052e+06,9.995393627803421987e+04
6.400000000000000000e+01,1.032333205151907052e+06,9.995393610296337283e+04
6.450000000000000000e+01,1.032333205151907052e+06,9.995393592789254035e+04
6.500000000000000000e+01,1.032333205151907052e+06,9.995393575282169331e+04
6.550000000000000000e+01,1.032333205151907052e+06,9.995393557775084628e+04
6.600000000000000000e+01,1.032333205151907052e+06,9.995393540268001379e+04
6.650000000000000000e+01,1.032333205151907052e+06,9.995393522760916676e+04
6.700000000000000000e+01,1.032333205151907052e+06,9.995393505253831972e+04
6.750000000000000000e+01,1.032333205151907052e+06,9.995393487746747269e+04
6.800000000000000000e+01,1.032333205151907052e+06,9.995393470239664020e+04
6.850000000000000000e+01,1.032333205151907052e+06,9.995393452732579317e+04
6.900000000000000000e+01,1.032333205151907052e+06,9.995393435225494613e+04
6.950000000000000000e+01,1.032333205151907052e+06,9.995393417718411365e+04
7.000000000000000000e+01,1.032333205151907052e+06,9.995393400211326662e+04
7.050000000000000000e+01,1.032333205151907052e+06,9.995393382704241958e+04
7.100000000000000000e+01,1.032333205151907052e+06,9.995393365197158710e+04
7.150000000000000000e+01,1.032333205151907052e+06,9.995393347690074006e+04
7.200000000000000000e+01,1.032333205151907052e+06,9.995393330182989303e+04
7.250000000000000000e+01,1.032333205151907052e+06,9.995393312675904599e+04
7.300000000000000000e+01,1.032333205151907052e+06,9.995393295168821351e+04
7.350000000000000000e+01,1.032333205151907052e+06,9.995393277661736647e+04
7.400000000000000000e+01,1.032333205151907052e+06,9.995393260154651944e+04
7.450000000000000000e+01,1.032333205151907052e+06,9.995393242647568695e+04
7.500000000000000000e+01,1.032333205151907052e+06,9.995393225140483992e+04
7.550000000000000000e+01,1.032333205151907052e+06,9.995393207633399288e+04
7.600000000000000000e+01,1.032333205151907052e+06,9.995393190126316040e+04
7.650000000000000000e+01,1.032333205151907052e+06,9.995393172619231336e+04
7.700000000000000000e+01,1.032333205151907052e+06,9.995393155112146633e+04
7.750000000000000000e+01,1.032333205151907052e+06,9.995393137605061929e+04
7.800000000000000000e+01,1.032333205151907052e+06,9.995393120097978681e+04
