t_s,P_acc_pa,P_act_pa
0.000000000000000000e+00,4.907412448696142063e+06,4.907412448867433704e+06
5.000000000000000000e-01,4.907412448696142063e+06,4.179124576740126591e+06
1.000000000000000000e+00,4.907412448696142063e+06,3.509491977610145230e+06
1.500000000000000000e+00,4.907412448696142063e+06,2.899722714682871476e+06
2.000000000000000000e+00,4.907412448696142063e+06,2.349984969606809784e+06
2.500000000000000000e+00,4.907412448696142063e+06,1.860196508377948310e+06
3.000000000000000000e+00,4.907412448696142063e+06,1.430478490662042983e+06
3.500000000000000000e+00,4.907412448696142063e+06,1.060777423836514354e+06
4.000000000000000000e+00,4.907412448696142063e+06,7.511288644499625079e+05
4.500000000000000000e+00,4.907412448696142063e+06,5.015253502088888199e+05
5.000000000000000000e+00,4.907412448696142063e+06,3.119637804358189460e+05
5.500000000000000000e+00,4.907412448696142063e+06,1.824441164411701902e+05
6.000000000000000000e+00,4.907412448696142063e+06,1.129663438324523595e+05
6.500000000000000000e+00,4.907412448696142063e+06,9.997391085793888487e+04
7.000000000000000000e+00,4.907412448696142063e+06,9.997273028189923207e+04
7.500000000000000000e+00,4.907412448696142063e+06,9.997261129497514048e+04
8.000000000000000000e+00,4.907412448696142063e+06,9.997256878585001687e+04
8.500000000000000000e+00,4.907412448696142063e+06,9.997252627672489325e+04
9.000000000000000000e+00,4.907412448696142063e+06,9.997248376759976964e+04
9.500000000000000000e+00,4.907412448696142063e+06,9.997244125847464602e+04
1.000000000000000000e+01,4.907412448696142063e+06,9.997239874934952240e+04
1.050000000000000000e+01,4.907412448696142063e+06,9.997235624022439879e+04
1.100000000000000000e+01,4.907412448696142063e+06,9.997233202631067252e+04
1.150000000000000000e+01,4.907412448696142063e+06,9.997232538986498548e+04
1.200000000000000000e+01,4.907412448696142063e+06,9.997231875341928389e+04
1.250000000000000000e+01,4.907412448696142063e+06,9.997231211697359686e+04
1.300000000000000000e+01,4.907412448696142063e+06,9.997230548052789527e+04
1.350000000000000000e+01,4.907412448696142063e+06,9.997229884408220823e+04
1.400000000000000000e+01,4.907412448696142063e+06,9.997229220763650665e+04
1.450000000000000000e+01,4.907412448696142063e+06,9.997228754722738813e+04
1.500000000000000000e+01,4.907412448696142063e+06,9.997228651115779940e+04
1.550000000000000000e+01,4.907412448696142063e+06,9.997228547508822521e+04
1.600000000000000000e+01,4.907412448696142063e+06,9.997228443901863648e+04
1.650000000000000000e+01,4.907412448696142063e+06,9.997228340294906229e+04
1.700000000000000000e+01,4.907412448696142063e+06,9.997228236687947356e+04
1.750000000000000000e+01,4.907412448696142063e+06,9.997228133080989937e+04
1.800000000000000000e+01,4.907412448696142063e+06,9.997228029474032519e+04
1.850000000000000000e+01,4.907412448696142063e+06,9.997227925867073645e+04
1.900000000000000000e+01,4.907412448696142063e+06,9.997227822260116227e+04
1.950000000000000000e+01,4.907412448696142063e+06,9.997227718653157353e+04
2.000000000000000000e+01,4.907412448696142063e+06,9.997227615046199935e+04
2.050000000000000000e+01,4.907412448696142063e+06,9.997227511439241061e+04
2.100000000000000000e+01,4.907412448696142063e+06,9.997227407832283643e+04
2.150000000000000000e+01,4.907412448696142063e+06,9.997227304225324770e+04
2.200000000000000000e+01,4.907412448696142063e+06,9.997227200618367351e+04
2.250000000000000000e+01,4.907412448696142063e+06,9.997227097011408478e+04
2.300000000000000000e+01,4.907412448696142063e+06,9.997226993404451059e+04
2.350000000000000000e+01,4.907412448696142063e+06,9.997226889797492186e+04
2.400000000000000000e+01,4.907412448696142063e+06,9.997226786190534767e+04
2.450000000000000000e+01,4.907412448696142063e+06,9.997226682583575894e+04
2.500000000000000000e+01,4.907412448696142063e+06,9.997226578976618475e+04
2.550000000000000000e+01,4.907412448696142063e+06,9.997226475369661057e+04
2.600000000000000000e+01,4.907412448696142063e+06,9.997226371762702183e+04
2.650000000000000000e+01,4.907412448696142063e+06,9.997226268155744765e+04
2.700000000000000000e+01,4.907412448696142063e+06,9.997226164548785891e+04
2.750000000000000000e+01,4.907412448696142063e+06,9.997226060941828473e+04
2.800000000000000000e+01,4.907412448696142063e+06,9.997225957334869599e+04
2.850000000000000000e+01,4.907412448696142063e+06,9.997225853727912181e+04
2.900000000000000000e+01,4.907412448696142063e+06,9.997225750120953307e+04
2.950000000000000000e+01,4.907412448696142063e+06,9.997225646513995889e+04
3.000000000000000000e+01,4.907412448696142063e+06,9.997225542907037016e+04
3.050000000000000000e+01,4.907412448696142063e+06,9.997225439300079597e+04
3.100000000000000000e+01,4.907412448696142063e+06,9.997225335693120724e+04
3.150000000000000000e+01,4.907412448696142063e+06,9.997225232086163305e+04
3.200000000000000000e+01,4.907412448696142063e+06,9.997225128479204432e+04
3.250000000000000000e+01,4.907412448696142063e+06,9.997225024872247013e+04
3.300000000000000000e+01,4.907412448696142063e+06,9.997224921265289595e+04
3.350000000000000000e+01,4.907412448696142063e+06,9.997224817658330721e+04
3.400000000000000000e+01,4.907412448696142063e+06,9.997224714051373303e+04
3.450000000000000000e+01,4.907412448696142063e+06,9.997224610444414429e+04
3.500000000000000000e+01,4.907412448696142063e+06,9.997224506837457011e+04
3.550000000000000000e+01,4.907412448696142063e+06,9.997224403230498137e+04
3.600000000000000000e+01,4.907412448696142063e+06,9.997224299623540719e+04
