t_s,P_acc_pa,P_act_pa
0.000000000000000000e+00,4.907412448696142063e+06,4.907412448867433704e+06
5.000000000000000000e-01,4.907412448696142063e+06,4.831812715535493568e+06
1.000000000000000000e+00,4.907412448696142063e+06,4.756798948851341382e+06
1.500000000000000000e+00,4.907412448696142063e+06,4.682368752290958539e+06
2.000000000000000000e+00,4.907412448696142063e+06,4.608522125854345970e+06
2.500000000000000000e+00,4.907412448696142063e+06,4.535259069541503675e+06
3.000000000000000000e+00,4.907412448696142063e+06,4.462598950579008088e+06
3.500000000000000000e+00,4.907412448696142063e+06,4.390536393441646360e+06
4.000000000000000000e+00,4.907412448696142063e+06,4.319067153217669576e+06
4.500000000000000000e+00,4.907412448696142063e+06,4.248191229907078668e+06
5.000000000000000000e+00,4.907412448696142063e+06,4.177914994393539615e+06
5.500000000000000000e+00,4.907412448696142063e+06,4.108242102722477168e+06
6.000000000000000000e+00,4.907412448696142063e+06,4.039167736386038363e+06
6.500000000000000000e+00,4.907412448696142063e+06,3.970691895384222735e+06
7.000000000000000000e+00,4.907412448696142063e+06,3.902818026162695605e+06
7.500000000000000000e+00,4.907412448696142063e+06,3.835554509358311072e+06
8.000000000000000000e+00,4.907412448696142063e+06,3.768890699129254557e+06
8.500000000000000000e+00,4.907412448696142063e+06,3.702826595475525130e+06
9.000000000000000000e+00,4.907412448696142063e+06,3.637362198397123255e+06
9.500000000000000000e+00,4.907412448696142063e+06,3.572497507894049399e+06
1.000000000000000000e+01,4.907412448696142063e+06,3.508232523966302630e+06
1.050000000000000000e+01,4.907412448696142063e+06,3.444567246613883413e+06
1.100000000000000000e+01,4.907412448696142063e+06,3.381501675836791750e+06
1.150000000000000000e+01,4.907412448696142063e+06,3.319035811635027640e+06
1.200000000000000000e+01,4.907412448696142063e+06,3.257169654008591082e+06
1.250000000000000000e+01,4.907412448696142063e+06,3.195903202957482077e+06
1.300000000000000000e+01,4.907412448696142063e+06,3.135236458481700625e+06
1.350000000000000000e+01,4.907412448696142063e+06,3.075169420581246726e+06
1.400000000000000000e+01,4.907412448696142063e+06,3.015702089256119914e+06
1.450000000000000000e+01,4.907412448696142063e+06,2.956834464506321121e+06
1.500000000000000000e+01,4.907412448696142063e+06,2.898566546331849881e+06
1.550000000000000000e+01,4.907412448696142063e+06,2.840898334732705727e+06
1.600000000000000000e+01,4.907412448696142063e+06,2.783829829708889592e+06
1.650000000000000000e+01,4.907412448696142063e+06,2.727361031260400545e+06
1.700000000000000000e+01,4.907412448696142063e+06,2.671491939387239516e+06
1.750000000000000000e+01,4.907412448696142063e+06,2.616222554089405574e+06
1.800000000000000000e+01,4.907412448696142063e+06,2.561552875366899185e+06
1.850000000000000000e+01,4.907412448696142063e+06,2.507482903219720349e+06
1.900000000000000000e+01,4.907412448696142063e+06,2.454012637647869531e+06
1.950000000000000000e+01,4.907412448696142063e+06,2.401147653320301790e+06
2.000000000000000000e+01,4.907412448696142063e+06,2.348883833633395378e+06
2.050000000000000000e+01,4.907412448696142063e+06,2.297220239776729606e+06
2.100000000000000000e+01,4.907412448696142063e+06,2.246156871750304941e+06
2.150000000000000000e+01,4.907412448696142063e+06,2.195693729554121383e+06
2.200000000000000000e+01,4.907412448696142063e+06,2.145830813188178465e+06
2.250000000000000000e+01,4.907412448696142063e+06,2.096568122652476653e+06
2.300000000000000000e+01,4.907412448696142063e+06,2.047905657947015949e+06
2.350000000000000000e+01,4.907412448696142063e+06,1.999843419071795885e+06
2.400000000000000000e+01,4.907412448696142063e+06,1.952381406026816927e+06
2.450000000000000000e+01,4.907412448696142063e+06,1.905519618812079076e+06
2.500000000000000000e+01,4.907412448696142063e+06,1.859258057427581865e+06
2.550000000000000000e+01,4.907412448696142063e+06,1.813596721873325761e+06
2.600000000000000000e+01,4.907412448696142063e+06,1.768535612149310764e+06
2.650000000000000000e+01,4.907412448696142063e+06,1.724074728255536640e+06
2.700000000000000000e+01,4.907412448696142063e+06,1.680214070192003390e+06
2.750000000000000000e+01,4.907412448696142063e+06,1.636953637958711013e+06
2.800000000000000000e+01,4.907412448696142063e+06,1.594293431555659743e+06
2.850000000000000000e+01,4.907412448696142063e+06,1.552233450982849346e+06
2.900000000000000000e+01,4.907412448696142063e+06,1.510773696240279824e+06
2.950000000000000000e+01,4.907412448696142063e+06,1.469914167327951407e+06
3.000000000000000000e+01,4.907412448696142063e+06,1.429654864245863864e+06
3.050000000000000000e+01,4.907412448696142063e+06,1.389995786994017195e+06
3.100000000000000000e+01,4.907412448696142063e+06,1.350936935572411632e+06
3.150000000000000000e+01,4.907412448696142063e+06,1.312479156772643328e+06
3.200000000000000000e+01,4.907412448696142063e+06,1.274622686933001503e+06
3.250000000000000000e+01,4.907412448696142063e+06,1.237366589599600062e+06
3.300000000000000000e+01,4.907412448696142063e+06,1.200710864772438537e+06
3.350000000000000000e+01,4.907412448696142063e+06,1.164655512451517396e+06
3.400000000000000000e+01,4.907412448696142063e+06,1.129200532636836404e+06
3.450000000000000000e+01,4.907412448696142063e+06,1.094345925328395562e+06
3.500000000000000000e+01,4.907412448696142063e+06,1.060091690526195103e+06
3.550000000000000000e+01,4.907412448696142063e+06,1.026437828230234678e+06
3.600000000000000000e+01,4.907412448696142063e+06,9.933843384405146353e+05
3.650000000000000000e+01,4.907412448696142063e+06,9.609312211570347426e+05
3.700000000000000000e+01,4.907412448696142063e+06,9.290784763797951164e+05
3.750000000000000000e+01,4.907412448696142063e+06,8.978261041087955236e+05
3.800000000000000000e+01,4.907412448696142063e+06,8.671741043440363137e+05
3.850000000000000000e+01,4.907412448696142063e+06,8.371224770855173701e+05
3.900000000000000000e+01,4.907412448696142063e+06,8.076712223332385765e+05
3.950000000000000000e+01,4.907412448696142063e+06,7.788203400872000493e+05
4.000000000000000000e+01,4.907412448696142063e+06,7.505698303474016720e+05
4.050000000000000000e+01,4.907412448696142063e+06,7.229196931138434447e+05
4.100000000000000000e+01,4.907412448696142063e+06,6.958699283865254838e+05
4.150000000000000000e+01,4.907412448696142063e+06,6.694205361654477892e+05
4.200000000000000000e+01,4.907412448696142063e+06,6.435715164506103611e+05
4.250000000000000000e+01,4.907412448696142063e+06,6.183228692420130828e+05
4.300000000000000000e+01,4.907412448696142063e+06,5.936745945396559546e+05
4.350000000000000000e+01,4.907412448696142063e+06,5.696267229202541057e+05
4.400000000000000000e+01,4.907412448696142063e+06,5.461796051877173595e+05
4.450000000000000000e+01,4.907412448696142063e+06,5.233329011488396209e+05
4.500000000000000000e+01,4.907412448696142063e+06,5.010866108036212390e+05
4.550000000000000000e+01,4.907412448696142063e+06,4.794407341520620394e+05
4.600000000000000000e+01,4.907412448696142063e+06,4.583952711941619636e+05
