t_s,P_acc_pa,P_act_pa
0.000000000000000000e+00,9.411154239272912964e+06,9.411169889436557889e+06
5.000000000000000000e-01,9.411154239272912964e+06,6.960158050526710227e+06
1.000000000000000000e+00,9.411154239272912964e+06,4.878960311979056336e+06
1.500000000000000000e+00,9.411154239272912964e+06,3.172749014883949421e+06
2.000000000000000000e+00,9.411154239272912964e+06,1.841745874702467117e+06
2.500000000000000000e+00,9.411154239272912964e+06,8.860166695614070632e+05
3.000000000000000000e+00,9.411154239272912964e+06,3.055747518371259212e+05
3.500000000000000000e+00,9.411154239272912964e+06,1.004103773082987609e+05
4.000000000000000000e+00,9.411154239272912964e+06,9.997049737933966389e+04
4.500000000000000000e+00,9.411154239272912964e+06,9.997173129359784070e+04
5.000000000000000000e+00,9.411154239272912964e+06,9.997188191809931595e+04
5.500000000000000000e+00,9.411154239272912964e+06,9.997203254260079120e+04
6.000000000000000000e+00,9.411154239272912964e+06,9.997218316710226645e+04
6.500000000000000000e+00,9.411154239272912964e+06,9.997233379160374170e+04
7.000000000000000000e+00,9.411154239272912964e+06,9.997248441610521695e+04
7.500000000000000000e+00,9.411154239272912964e+06,9.997263504060669220e+04
8.000000000000000000e+00,9.411154239272912964e+06,9.997273971977774636e+04
8.500000000000000000e+00,9.411154239272912964e+06,9.997276323499527643e+04
9.000000000000000000e+00,9.411154239272912964e+06,9.997278675021280651e+04
9.500000000000000000e+00,9.411154239272912964e+06,9.997281026543033659e+04
1.000000000000000000e+01,9.411154239272912964e+06,9.997283378064786666e+04
1.050000000000000000e+01,9.411154239272912964e+06,9.997285729586539674e+04
1.100000000000000000e+01,9.411154239272912964e+06,9.997288081108292681e+04
1.150000000000000000e+01,9.411154239272912964e+06,9.997289237190164567e+04
1.200000000000000000e+01,9.411154239272912964e+06,9.997289604305375542e+04
1.250000000000000000e+01,9.411154239272912964e+06,9.997289971420585061e+04
1.300000000000000000e+01,9.411154239272912964e+06,9.997290338535796036e+04
1.350000000000000000e+01,9.411154239272912964e+06,9.997290705651005555e+04
1.400000000000000000e+01,9.411154239272912964e+06,9.997291072766216530e+04
1.450000000000000000e+01,9.411154239272912964e+06,9.997291439881427505e+04
1.500000000000000000e+01,9.411154239272912964e+06,9.997291806996637024e+04
1.550000000000000000e+01,9.411154239272912964e+06,9.997292174111847999e+04
1.600000000000000000e+01,9.411154239272912964e+06,9.997292541227057518e+04
1.650000000000000000e+01,9.411154239272912964e+06,9.997292908342268493e+04
1.700000000000000000e+01,9.411154239272912964e+06,9.997293275457479467e+04
1.750000000000000000e+01,9.411154239272912964e+06,9.997293642572688987e+04
1.800000000000000000e+01,9.411154239272912964e+06,9.997294009687899961e+04
1.850000000000000000e+01,9.411154239272912964e+06,9.997294376803109481e+04
1.900000000000000000e+01,9.411154239272912964e+06,9.997294743918320455e+04
1.950000000000000000e+01,9.411154239272912964e+06,9.997295111033531430e+04
2.000000000000000000e+01,9.411154239272912964e+06,9.997295478148740949e+04
2.050000000000000000e+01,9.411154239272912964e+06,9.997295845263951924e+04
2.100000000000000000e+01,9.411154239272912964e+06,9.997296212379161443e+04
2.150000000000000000e+01,9.411154239272912964e+06,9.997296579494372418e+04
2.200000000000000000e+01,9.411154239272912964e+06,9.997296946609583392e+04
2.250000000000000000e+01,9.411154239272912964e+06,9.997297313724792912e+04
2.300000000000000000e+01,9.411154239272912964e+06,9.997297680840003886e+04
2.350000000000000000e+01,9.411154239272912964e+06,9.997298047955213406e+04
2.400000000000000000e+01,9.411154239272912964e+06,9.997298415070424380e+04
2.450000000000000000e+01,9.411154239272912964e+06,9.997298782185635355e+04
2.500000000000000000e+01,9.411154239272912964e+06,9.997299149300844874e+04
2.550000000000000000e+01,9.411154239272912964e+06,9.997299516416055849e+04
2.600000000000000000e+01,9.411154239272912964e+06,9.997299883531265368e+04
2.650000000000000000e+01,9.411154239272912964e+06,9.997300250646476343e+04
2.700000000000000000e+01,9.411154239272912964e+06,9.997300617761687317e+04
