t_s,P_acc_pa,P_act_pa
0.000000000000000000e+00,1.013529321629999904e+05,1.034213593499999866e+07
5.000000000000000278e-02,1.013529321629999904e+05,1.034213593499999866e+07
1.000000000000000056e-01,1.013529321629999904e+05,1.034213593499999866e+07
1.500000000000000222e-01,1.013529321629999904e+05,1.034213593499999866e+07
2.000000000000000111e-01,1.013529321629999904e+05,1.034213593499999866e+07
2.500000000000000000e-01,1.013529321629999904e+05,1.034213593499999866e+07
3.000000000000000444e-01,1.013529321629999904e+05,1.034213593499999866e+07
3.500000000000000333e-01,1.013529321629999904e+05,1.034213593499999866e+07
4.000000000000000222e-01,1.013529321629999904e+05,1.034213593499999866e+07
4.500000000000000111e-01,1.013529321629999904e+05,1.034213593499999866e+07
5.000000000000000000e-01,1.013529321629999904e+05,1.034213593499999866e+07
5.500000000000000444e-01,1.013529321629999904e+05,1.034213593499999866e+07
6.000000000000000888e-01,1.013529321629999904e+05,1.034213593499999866e+07
6.500000000000000222e-01,1.013529321629999904e+05,1.034213593499999866e+07
7.000000000000000666e-01,1.013529321629999904e+05,1.034213593499999866e+07
7.500000000000000000e-01,1.013529321629999904e+05,1.034213593499999866e+07
8.000000000000000444e-01,1.013529321629999904e+05,1.034213593499999866e+07
8.500000000000000888e-01,1.013529321629999904e+05,1.034213593499999866e+07
9.000000000000000222e-01,1.013529321629999904e+05,1.034213593499999866e+07
9.500000000000000666e-01,1.013529321629999904e+05,1.034213593499999866e+07
1.000000000000000000e+00,1.014840567373402882e+05,1.034082468925658986e+07
1.050000000000000044e+00,1.032333204808489885e+06,1.032333208544974099e+06
1.100000000000000089e+00,1.032333205011085025e+06,1.032333206519023399e+06
1.150000000000000133e+00,1.032333205173006747e+06,1.032333204899806064e+06
1.200000000000000178e+00,1.032333205334928469e+06,1.032333203280588728e+06
1.250000000000000000e+00,1.032333205496850191e+06,1.032333201661371277e+06
1.300000000000000044e+00,1.032333205568395671e+06,1.032333200945916586e+06
1.350000000000000089e+00,1.032333205600986839e+06,1.032333200620005140e+06
1.400000000000000133e+00,1.032333205633578007e+06,1.032333200294093695e+06
1.450000000000000178e+00,1.032333205666169175e+06,1.032333199968182249e+06
1.500000000000000000e+00,1.032333205685743596e+06,1.032333199772438384e+06
1.550000000000000044e+00,1.032333205700890860e+06,1.032333199620966101e+06
1.600000000000000089e+00,1.032333205716038006e+06,1.032333199469493818e+06
1.650000000000000133e+00,1.032333205731185270e+06,1.032333199318021652e+06
1.700000000000000178e+00,1.032333205746332533e+06,1.032333199166549370e+06
1.750000000000000000e+00,1.032333205761479679e+06,1.032333199015077204e+06
1.800000000000000044e+00,1.032333205776626943e+06,1.032333198863604921e+06
1.850000000000000089e+00,1.032333205791774206e+06,1.032333198712132638e+06
1.900000000000000133e+00,1.032333205806921353e+06,1.032333198560660472e+06
1.950000000000000178e+00,1.032333205822068616e+06,1.032333198409188190e+06
2.000000000000000000e+00,1.032333205837215879e+06,1.032333198257716023e+06
2.050000000000000266e+00,1.032333205852363026e+06,1.032333198106243741e+06
2.100000000000000089e+00,1.032333205867510289e+06,1.032333197954771575e+06
2.149999999999999911e+00,1.032333205882657552e+06,1.032333197803299292e+06
2.200000000000000178e+00,1.032333205897804699e+06,1.032333197651827009e+06
2.250000000000000000e+00,1.032333205912951962e+06,1.032333197500354843e+06
2.300000000000000266e+00,1.032333205928099109e+06,1.032333197348882561e+06
2.350000000000000089e+00,1.032333205943246372e+06,1.032333197197410394e+06
2.400000000000000355e+00,1.032333205958393635e+06,1.032333197045938112e+06
2.450000000000000178e+00,1.032333205973540782e+06,1.032333196894465829e+06
2.500000000000000000e+00,1.032333205988688045e+06,1.032333196742993663e+06
2.550000000000000266e+00,1.032333206003835308e+06,1.032333196591521380e+06
2.600000000000000089e+00,1.032333206018982455e+06,1.032333196440049214e+06
2.650000000000000355e+00,1.032333206034129718e+06,1.032333196288576932e+06
2.700000000000000178e+00,1.032333206049276982e+06,1.032333196137104649e+06
