t_s,P_acc_pa,P_act_pa
0.000000000000000000e+00,1.932558785737671703e+07,1.932560356265614182e+07
5.000000000000000000e-01,1.932558785737671703e+07,1.917396576129269972e+07
1.000000000000000000e+00,1.932558785737671703e+07,1.902292833504651859e+07
1.500000000000000000e+00,1.932558785737671703e+07,1.887249128362821788e+07
2.000000000000000000e+00,1.932558785737671703e+07,1.872265460724923015e+07
2.500000000000000000e+00,1.932558785737671703e+07,1.857341830611337721e+07
3.000000000000000000e+00,1.932558785737671703e+07,1.842478238037345186e+07
3.500000000000000000e+00,1.932558785737671703e+07,1.827674683013123274e+07
4.000000000000000000e+00,1.932558785737671703e+07,1.812931165543746948e+07
4.500000000000000000e+00,1.932558785737671703e+07,1.798247685629188269e+07
5.000000000000000000e+00,1.932558785737671703e+07,1.783624243264317513e+07
5.500000000000000000e+00,1.932558785737671703e+07,1.769060838438903168e+07
6.000000000000000000e+00,1.932558785737671703e+07,1.754557471137609705e+07
6.500000000000000000e+00,1.932558785737671703e+07,1.740114141340000555e+07
7.000000000000000000e+00,1.932558785737671703e+07,1.725730848707901686e+07
7.500000000000000000e+00,1.932558785737671703e+07,1.711407588166963682e+07
8.000000000000000000e+00,1.932558785737671703e+07,1.697144358774802834e+07
8.500000000000000000e+00,1.932558785737671703e+07,1.682941161569679528e+07
9.000000000000000000e+00,1.932558785737671703e+07,1.668797997534987330e+07
9.500000000000000000e+00,1.932558785737671703e+07,1.654714867599251308e+07
1.000000000000000000e+01,1.932558785737671703e+07,1.640691772636129707e+07
1.050000000000000000e+01,1.932558785737671703e+07,1.626728713464412838e+07
1.100000000000000000e+01,1.932558785737671703e+07,1.612825690848023631e+07
1.150000000000000000e+01,1.932558785737671703e+07,1.598982705496017821e+07
1.200000000000000000e+01,1.932558785737671703e+07,1.585199758062583022e+07
1.250000000000000000e+01,1.932558785737671703e+07,1.571476849147039838e+07
1.300000000000000000e+01,1.932558785737671703e+07,1.557813979293841310e+07
1.350000000000000000e+01,1.932558785737671703e+07,1.544211148992572725e+07
1.400000000000000000e+01,1.932558785737671703e+07,1.530668358677952178e+07
1.450000000000000000e+01,1.932558785737671703e+07,1.517185608729829825e+07
1.500000000000000000e+01,1.932558785737671703e+07,1.503762899473188818e+07
1.550000000000000000e+01,1.932558785737671703e+07,1.490400231178144366e+07
1.600000000000000000e+01,1.932558785737671703e+07,1.477097604059944488e+07
1.650000000000000000e+01,1.932558785737671703e+07,1.463855018278969452e+07
1.700000000000000000e+01,1.932558785737671703e+07,1.450672473940732330e+07
1.750000000000000000e+01,1.932558785737671703e+07,1.437549971095878258e+07
1.800000000000000000e+01,1.932558785737671703e+07,1.424487509740185365e+07
