t_s,P_acc_pa,P_act_pa
0.000000000000000000e+00,1.932558590857301280e+07,1.932561135787088796e+07
5.000000000000000000e-01,1.932558590857301280e+07,1.917410741001128405e+07
1.000000000000000000e+00,1.932558590857301280e+07,1.902498423104137182e+07
1.500000000000000000e+00,1.932558590857301280e+07,1.887684178081148863e+07
2.000000000000000000e+00,1.932558590857301280e+07,1.872869933058160171e+07
2.500000000000000000e+00,1.932558590857301280e+07,1.858055688035171479e+07
3.000000000000000000e+00,1.932558590857301280e+07,1.843241443012183160e+07
3.500000000000000000e+00,1.932558590857301280e+07,1.828427197989194468e+07
4.000000000000000000e+00,1.932558590857301280e+07,1.813745750561587140e+07
4.500000000000000000e+00,1.932558590857301280e+07,1.799175101929989830e+07
5.000000000000000000e+00,1.932558590857301280e+07,1.784662709798158333e+07
5.500000000000000000e+00,1.932558590857301280e+07,1.770208574166093022e+07
6.000000000000000000e+00,1.932558590857301280e+07,1.755812695033793151e+07
6.500000000000000000e+00,1.932558590857301280e+07,1.741475072401259467e+07
7.000000000000000000e+00,1.932558590857301280e+07,1.727178587064095959e+07
7.500000000000000000e+00,1.932558590857301280e+07,1.712930301982297748e+07
8.000000000000000000e+00,1.932558590857301280e+07,1.698737703901552409e+07
8.500000000000000000e+00,1.932558590857301280e+07,1.684600792821859568e+07
9.000000000000000000e+00,1.932558590857301280e+07,1.670519568743219785e+07
9.500000000000000000e+00,1.932558590857301280e+07,1.656494031665632688e+07
1.000000000000000000e+01,1.932558590857301280e+07,1.642524181589098088e+07
1.050000000000000000e+01,1.932558590857301280e+07,1.628610018513616361e+07
1.100000000000000000e+01,1.932558590857301280e+07,1.614751542439187318e+07
1.150000000000000000e+01,1.932558590857301280e+07,1.600948753365810961e+07
1.200000000000000000e+01,1.932558590857301280e+07,1.587201651293487474e+07
1.250000000000000000e+01,1.932558590857301280e+07,1.573510236222216673e+07
1.300000000000000000e+01,1.932558590857301280e+07,1.559874508151998557e+07
1.350000000000000000e+01,1.932558590857301280e+07,1.546294467082833126e+07
1.400000000000000000e+01,1.932558590857301280e+07,1.532770113014720380e+07
1.450000000000000000e+01,1.932558590857301280e+07,1.519301445947660506e+07
1.500000000000000000e+01,1.932558590857301280e+07,1.505888465881653316e+07
1.550000000000000000e+01,1.932558590857301280e+07,1.492531172816698812e+07
1.600000000000000000e+01,1.932558590857301280e+07,1.479229566752796993e+07
1.650000000000000000e+01,1.932558590857301280e+07,1.466004230867945589e+07
1.700000000000000000e+01,1.932558590857301280e+07,1.452839048819253966e+07
1.750000000000000000e+01,1.932558590857301280e+07,1.439731874775839038e+07
1.800000000000000000e+01,1.932558590857301280e+07,1.426682708737700991e+07
1.850000000000000000e+01,1.932558590857301280e+07,1.413691550704839639e+07
1.900000000000000000e+01,1.932558590857301280e+07,1.400758400677255169e+07
1.950000000000000000e+01,1.932558590857301280e+07,1.387883258654947579e+07
2.000000000000000000e+01,1.932558590857301280e+07,1.375066124637916684e+07
2.050000000000000000e+01,1.932558590857301280e+07,1.362306998626162671e+07
2.100000000000000000e+01,1.932558590857301280e+07,1.349605880619685538e+07
2.150000000000000000e+01,1.932558590857301280e+07,1.336962770618485101e+07
2.200000000000000000e+01,1.932558590857301280e+07,1.324377668622561358e+07
2.250000000000000000e+01,1.932558590857301280e+07,1.311850574631914683e+07
2.300000000000000000e+01,1.932558590857301280e+07,1.299381488646544516e+07
2.350000000000000000e+01,1.932558590857301280e+07,1.286970410666451417e+07
2.400000000000000000e+01,1.932558590857301280e+07,1.274617340691635013e+07
2.450000000000000000e+01,1.932558590857301280e+07,1.262322278722095490e+07
2.500000000000000000e+01,1.932558590857301280e+07,1.250085224757832661e+07
2.550000000000000000e+01,1.932558590857301280e+07,1.237907254385782033e+07
2.600000000000000000e+01,1.932558590857301280e+07,1.225796187456962839e+07
