t_s,P_acc_pa,P_act_pa
0.000000000000000000e+00,1.612151520461526886e+07,1.612162355293244682e+07
5.000000000000000000e-01,1.612151520461526886e+07,1.605234809155452810e+07
1.000000000000000000e+00,1.612151520461526886e+07,1.598322272398215532e+07
1.500000000000000000e+00,1.612151520461526886e+07,1.591424745019850694e+07
2.000000000000000000e+00,1.612151520461526886e+07,1.584542227021029219e+07
2.500000000000000000e+00,1.612151520461526886e+07,1.577674718402696587e+07
3.000000000000000000e+00,1.612151520461526886e+07,1.570822219165608287e+07
3.500000000000000000e+00,1.612151520461526886e+07,1.563984729310328886e+07
4.000000000000000000e+00,1.612151520461526886e+07,1.557162248837232962e+07
4.500000000000000000e+00,1.612151520461526886e+07,1.550354777746504731e+07
5.000000000000000000e+00,1.612151520461526886e+07,1.543562316038137488e+07
5.500000000000000000e+00,1.612151520461526886e+07,1.536784863711934723e+07
6.000000000000000000e+00,1.612151520461526886e+07,1.530022420767509192e+07
6.500000000000000000e+00,1.612151520461526886e+07,1.523274987204283290e+07
7.000000000000000000e+00,1.612151520461526886e+07,1.516542563021489047e+07
7.500000000000000000e+00,1.612151520461526886e+07,1.509825148218168318e+07
8.000000000000000000e+00,1.612151520461526886e+07,1.503122742523602769e+07
8.500000000000000000e+00,1.612151520461526886e+07,1.496435344551793672e+07
9.000000000000000000e+00,1.612151520461526886e+07,1.489762954231975786e+07
9.500000000000000000e+00,1.612151520461526886e+07,1.483105571709043160e+07
1.000000000000000000e+01,1.612151520461526886e+07,1.476463197123937309e+07
1.050000000000000000e+01,1.612151520461526886e+07,1.469835830613648146e+07
1.100000000000000000e+01,1.612151520461526886e+07,1.463223472311213054e+07
1.150000000000000000e+01,1.612151520461526886e+07,1.456626122345717438e+07
1.200000000000000000e+01,1.612151520461526886e+07,1.450043780842294358e+07
1.250000000000000000e+01,1.612151520461526886e+07,1.443476447922125086e+07
1.300000000000000000e+01,1.612151520461526886e+07,1.436924123702438548e+07
1.350000000000000000e+01,1.612151520461526886e+07,1.430386808296511881e+07
1.400000000000000000e+01,1.612151520461526886e+07,1.423864501813669689e+07
1.450000000000000000e+01,1.612151520461526886e+07,1.417357204359284788e+07
1.500000000000000000e+01,1.612151520461526886e+07,1.410864916034777462e+07
1.550000000000000000e+01,1.612151520461526886e+07,1.404387636937616579e+07
1.600000000000000000e+01,1.612151520461526886e+07,1.397925367161318101e+07
1.650000000000000000e+01,1.612151520461526886e+07,1.391478106795446575e+07
1.700000000000000000e+01,1.612151520461526886e+07,1.385045855925613642e+07
1.750000000000000000e+01,1.612151520461526886e+07,1.378628614633479714e+07
1.800000000000000000e+01,1.612151520461526886e+07,1.372226382996752486e+07
1.850000000000000000e+01,1.612151520461526886e+07,1.365839161089187860e+07
1.900000000000000000e+01,1.612151520461526886e+07,1.359466948980589211e+07
1.950000000000000000e+01,1.612151520461526886e+07,1.353109746736808307e+07
2.000000000000000000e+01,1.612151520461526886e+07,1.346767554419744201e+07
2.050000000000000000e+01,1.612151520461526886e+07,1.340440372087344714e+07
2.100000000000000000e+01,1.612151520461526886e+07,1.334128199793604575e+07
