t_s,P_acc_pa,P_act_pa
0.000000000000000000e+00,1.612152709221176058e+07,1.612159977773951739e+07
5.000000000000000000e-01,1.612152709221176058e+07,1.543666012187545002e+07
1.000000000000000000e+00,1.612152709221176058e+07,1.476626106613548845e+07
1.500000000000000000e+00,1.612152709221176058e+07,1.411048257602182776e+07
2.000000000000000000e+00,1.612152709221176058e+07,1.346965227786319517e+07
2.500000000000000000e+00,1.612152709221176058e+07,1.284364318422496319e+07
3.000000000000000000e+00,1.612152709221176058e+07,1.223267452863498032e+07
3.500000000000000000e+00,1.612152709221176058e+07,1.163666054986003600e+07
4.000000000000000000e+00,1.612152709221176058e+07,1.105576801719469018e+07
4.500000000000000000e+00,1.612152709221176058e+07,1.048987760285592265e+07
5.000000000000000000e+00,1.612152709221176058e+07,9.938977668736929074e+06
5.500000000000000000e+00,1.612152709221176058e+07,9.403068214837709442e+06
6.000000000000000000e+00,1.612152709221176058e+07,8.882149241158263758e+06
6.500000000000000000e+00,1.612152709221176058e+07,8.376220747698590159e+06
7.000000000000000000e+00,1.612152709221176058e+07,7.885282734458692372e+06
7.500000000000000000e+00,1.612152709221176058e+07,7.409335201438566670e+06
8.000000000000000000e+00,1.612152709221176058e+07,6.948378148638215847e+06
8.500000000000000000e+00,1.612152709221176058e+07,6.502472229177097790e+06
9.000000000000000000e+00,1.612152709221176058e+07,6.071583836918967776e+06
9.500000000000000000e+00,1.612152709221176058e+07,5.655700857226371765e+06
1.000000000000000000e+01,1.612152709221176058e+07,5.254823290099309757e+06
1.050000000000000000e+01,1.612152709221176058e+07,4.868951135537781753e+06
1.100000000000000000e+01,1.612152709221176058e+07,4.498084393541787751e+06
1.150000000000000000e+01,1.612152709221176058e+07,4.142223064111327752e+06
1.200000000000000000e+01,1.612152709221176058e+07,3.801367147246401291e+06
1.250000000000000000e+01,1.612152709221176058e+07,3.475516642947008833e+06
1.300000000000000000e+01,1.612152709221176058e+07,3.164687455639212392e+06
1.350000000000000000e+01,1.612152709221176058e+07,2.868874132541026454e+06
1.400000000000000000e+01,1.612152709221176058e+07,2.588070795052775647e+06
1.450000000000000000e+01,1.612152709221176058e+07,2.322277443174459971e+06
1.500000000000000000e+01,1.612152709221176058e+07,2.071494076906079892e+06
1.550000000000000000e+01,1.612152709221176058e+07,1.835720696247634944e+06
1.600000000000000000e+01,1.612152709221176058e+07,1.614957301199125126e+06
1.650000000000000000e+01,1.612152709221176058e+07,1.409203891760550905e+06
1.700000000000000000e+01,1.612152709221176058e+07,1.218460467931912048e+06
1.750000000000000000e+01,1.612152709221176058e+07,1.042727437657898990e+06
1.800000000000000000e+01,1.612152709221176058e+07,8.820048630437469110e+05
1.850000000000000000e+01,1.612152709221176058e+07,7.362925199241200462e+05
1.900000000000000000e+01,1.612152709221176058e+07,6.055904082990181632e+05
1.950000000000000000e+01,1.612152709221176058e+07,4.898985281684414949e+05
2.000000000000000000e+01,1.612152709221176058e+07,3.892161042457175790e+05
2.050000000000000000e+01,1.612152709221176058e+07,3.035431522807029542e+05
2.100000000000000000e+01,1.612152709221176058e+07,2.328800085878152750e+05
2.150000000000000000e+01,1.612152709221176058e+07,1.772266731670546578e+05
2.200000000000000000e+01,1.612152709221176058e+07,1.365831460184210155e+05
2.250000000000000000e+01,1.612152709221176058e+07,1.109491307525864249e+05
2.300000000000000000e+01,1.612152709221176058e+07,9.998745603626020602e+04
2.350000000000000000e+01,1.612152709221176058e+07,9.948323078715533484e+04
2.400000000000000000e+01,1.612152709221176058e+07,9.948882535048367572e+04
2.450000000000000000e+01,1.612152709221176058e+07,9.948975991105889261e+04
2.500000000000000000e+01,1.612152709221176058e+07,9.949015834623480623e+04
2.550000000000000000e+01,1.612152709221176058e+07,9.949029470182590012e+04
2.600000000000000000e+01,1.612152709221176058e+07,9.949043105741700856e+04
2.650000000000000000e+01,1.612152709221176058e+07,9.949056741300810245e+04
2.700000000000000000e+01,1.612152709221176058e+07,9.949070376859919634e+04
2.750000000000000000e+01,1.612152709221176058e+07,9.949084012419030478e+04
2.800000000000000000e+01,1.612152709221176058e+07,9.949097647978139867e+04
2.850000000000000000e+01,1.612152709221176058e+07,9.949111283537250711e+04
2.900000000000000000e+01,1.612152709221176058e+07,9.949124919096360100e+04
2.950000000000000000e+01,1.612152709221176058e+07,9.949132625497871777e+04
3.000000000000000000e+01,1.612152709221176058e+07,9.949134754256044107e+04
3.050000000000000000e+01,1.612152709221176058e+07,9.949136883014217892e+04
3.100000000000000000e+01,1.612152709221176058e+07,9.949139011772391677e+04
3.150000000000000000e+01,1.612152709221176058e+07,9.949141140530564007e+04
3.200000000000000000e+01,1.612152709221176058e+07,9.949143269288737793e+04
3.250000000000000000e+01,1.612152709221176058e+07,9.949145398046911578e+04
3.300000000000000000e+01,1.612152709221176058e+07,9.949147526805083908e+04
3.350000000000000000e+01,1.612152709221176058e+07,9.949149655563257693e+04
3.400000000000000000e+01,1.612152709221176058e+07,9.949151090680387279e+04
3.450000000000000000e+01,1.612152709221176058e+07,9.949151423018162313e+04
3.500000000000000000e+01,1.612152709221176058e+07,9.949151755355935893e+04
3.550000000000000000e+01,1.612152709221176058e+07,9.949152087693709473e+04
3.600000000000000000e+01,1.612152709221176058e+07,9.949152420031483052e+04
3.650000000000000000e+01,1.612152709221176058e+07,9.949152752369258087e+04
3.700000000000000000e+01,1.612152709221176058e+07,9.949153084707031667e+04
3.750000000000000000e+01,1.612152709221176058e+07,9.949153417044805246e+04
3.800000000000000000e+01,1.612152709221176058e+07,9.949153749382578826e+04
3.850000000000000000e+01,1.612152709221176058e+07,9.949154081720352406e+04
3.900000000000000000e+01,1.612152709221176058e+07,9.949154414058127441e+04
3.950000000000000000e+01,1.612152709221176058e+07,9.949154746395901020e+04
4.000000000000000000e+01,1.612152709221176058e+07,9.949155078733674600e+04
4.050000000000000000e+01,1.612152709221176058e+07,9.949155411071448179e+04
4.100000000000000000e+01,1.612152709221176058e+07,9.949155743409221759e+04
4.150000000000000000e+01,1.612152709221176058e+07,9.949156075746996794e+04
4.200000000000000000e+01,1.612152709221176058e+07,9.949156408084770374e+04
4.250000000000000000e+01,1.612152709221176058e+07,9.949156740422543953e+04
4.300000000000000000e+01,1.612152709221176058e+07,9.949157072760317533e+04
4.350000000000000000e+01,1.612152709221176058e+07,9.949157405098092568e+04
4.400000000000000000e+01,1.612152709221176058e+07,9.949157737435866147e+04
4.450000000000000000e+01,1.612152709221176058e+07,9.949158069773639727e+04
4.500000000000000000e+01,1.612152709221176058e+07,9.949158402111413307e+04
4.550000000000000000e+01,1.612152709221176058e+07,9.949158734449186886e+04
4.600000000000000000e+01,1.612152709221176058e+07,9.949159066786961921e+04
4.650000000000000000e+01,1.612152709221176058e+07,9.949159399124735501e+04
4.700000000000000000e+01,1.612152709221176058e+07,9.949159731462509080e+04
4.750000000000000000e+01,1.612152709221176058e+07,9.949160063800282660e+04
4.800000000000000000e+01,1.612152709221176058e+07,9.949160396138056240e+04
4.850000000000000000e+01,1.612152709221176058e+07,9.949160728475831274e+04
4.900000000000000000e+01,1.612152709221176058e+07,9.949161060813604854e+04
4.950000000000000000e+01,1.612152709221176058e+07,9.949161393151378434e+04
5.000000000000000000e+01,1.612152709221176058e+07,9.949161725489152013e+04
5.050000000000000000e+01,1.612152709221176058e+07,9.949162057826927048e+04
5.100000000000000000e+01,1.612152709221176058e+07,9.949162390164700628e+04
5.150000000000000000e+01,1.612152709221176058e+07,9.949162722502474207e+04
5.200000000000000000e+01,1.612152709221176058e+07,9.949163054840247787e+04
5.250000000000000000e+01,1.612152709221176058e+07,9.949163387178021367e+04
5.300000000000000000e+01,1.612152709221176058e+07,9.949163719515796402e+04
5.350000000000000000e+01,1.612152709221176058e+07,9.949164051853569981e+04
5.400000000000000000e+01,1.612152709221176058e+07,9.949164384191343561e+04
5.450000000000000000e+01,1.612152709221176058e+07,9.949164716529117140e+04
5.500000000000000000e+01,1.612152709221176058e+07,9.949165048866890720e+04
5.550000000000000000e+01,1.612152709221176058e+07,9.949165381204665755e+04
5.600000000000000000e+01,1.612152709221176058e+07,9.949165713542439335e+04
5.650000000000000000e+01,1.612152709221176058e+07,9.949166045880212914e+04
5.700000000000000000e+01,1.612152709221176058e+07,9.949166378217986494e+04
5.750000000000000000e+01,1.612152709221176058e+07,9.949166710555761529e+04
5.800000000000000000e+01,1.612152709221176058e+07,9.949167042893535108e+04
5.850000000000000000e+01,1.612152709221176058e+07,9.949167375231308688e+04
5.900000000000000000e+01,1.612152709221176058e+07,9.949167707569082268e+04
5.950000000000000000e+01,1.612152709221176058e+07,9.949168039906855847e+04
6.000000000000000000e+01,1.612152709221176058e+07,9.949168372244630882e+04
6.050000000000000000e+01,1.612152709221176058e+07,9.949168704582404462e+04
6.100000000000000000e+01,1.612152709221176058e+07,9.949169036920178041e+04
6.150000000000000000e+01,1.612152709221176058e+07,9.949169369257951621e+04
6.200000000000000000e+01,1.612152709221176058e+07,9.949169701595725201e+04
6.250000000000000000e+01,1.612152709221176058e+07,9.949170033933500235e+04
6.300000000000000000e+01,1.612152709221176058e+07,9.949170366271273815e+04
6.350000000000000000e+01,1.612152709221176058e+07,9.949170698609047395e+04
6.400000000000000000e+01,1.612152709221176058e+07,9.949171030946820974e+04
6.450000000000000000e+01,1.612152709221176058e+07,9.949171363284594554e+04
