t_s,P_acc_pa,P_act_pa
0.000000000000000000e+00,2.413165051499999687e+07,1.013529321629999904e+05
5.000000000000000278e-02,2.413165051499999687e+07,1.013529321629999904e+05
1.000000000000000056e-01,2.413165051499999687e+07,1.013529321629999904e+05
1.500000000000000222e-01,2.413165051499999687e+07,1.013529321629999904e+05
2.000000000000000111e-01,2.413165051499999687e+07,1.013529321629999904e+05
2.500000000000000000e-01,2.413165051499999687e+07,1.013529321629999904e+05
3.000000000000000444e-01,2.413165051499999687e+07,1.013529321629999904e+05
3.500000000000000333e-01,2.413165051499999687e+07,1.013529321629999904e+05
4.000000000000000222e-01,2.413165051499999687e+07,1.013529321629999904e+05
4.500000000000000111e-01,2.413165051499999687e+07,1.013529321629999904e+05
5.000000000000000000e-01,2.413165051499999687e+07,1.013529321629999904e+05
5.500000000000000444e-01,2.413165051499999687e+07,1.013529321629999904e+05
6.000000000000000888e-01,2.413165051499999687e+07,1.013529321629999904e+05
6.500000000000000222e-01,2.413165051499999687e+07,1.013529321629999904e+05
7.000000000000000666e-01,2.413165051499999687e+07,1.013529321629999904e+05
7.500000000000000000e-01,2.413165051499999687e+07,1.013529321629999904e+05
8.000000000000000444e-01,2.413165051499999687e+07,1.013529321629999904e+05
8.500000000000000888e-01,2.413165051499999687e+07,1.013529321629999904e+05
9.000000000000000222e-01,2.413165051499999687e+07,1.013529321629999904e+05
9.500000000000000666e-01,2.413165051499999687e+07,1.013529321629999904e+05
1.000000000000000000e+00,2.413165007848372310e+07,1.013538051955473347e+05
1.050000000000000044e+00,1.612156795954525098e+07,1.612151804307248257e+07
1.100000000000000089e+00,1.612156669734522700e+07,1.612152056747253239e+07
1.150000000000000133e+00,1.612156112745071016e+07,1.612153170726156607e+07
1.200000000000000178e+00,1.612157413818586431e+07,1.612150568579125963e+07
1.250000000000000000e+00,1.612155501836920902e+07,1.612154392542456836e+07
1.300000000000000044e+00,1.612158164588486776e+07,1.612149067039325088e+07
1.350000000000000089e+00,1.612154997219421156e+07,1.612155401777456142e+07
1.400000000000000133e+00,1.612158868977879547e+07,1.612147658260539547e+07
1.450000000000000178e+00,1.612154625273750350e+07,1.612156145668798126e+07
1.500000000000000000e+00,1.612159426049378701e+07,1.612146544117541052e+07
