t_s,P_acc_pa,P_act_pa
0.000000000000000000e+00,8.111419859742816538e+06,8.111516659840391017e+06
5.000000000000000000e-01,8.111419859742816538e+06,8.062588342298937030e+06
1.000000000000000000e+00,8.111419859742816538e+06,8.014188833353171125e+06
1.500000000000000000e+00,8.111419859742816538e+06,7.966231387152216397e+06
2.000000000000000000e+00,8.111419859742816538e+06,7.918273940951262601e+06
2.500000000000000000e+00,8.111419859742816538e+06,7.870316494750307873e+06
3.000000000000000000e+00,8.111419859742816538e+06,7.822359048549353145e+06
3.500000000000000000e+00,8.111419859742816538e+06,7.774401602348398417e+06
4.000000000000000000e+00,8.111419859742816538e+06,7.726444156147444621e+06
4.500000000000000000e+00,8.111419859742816538e+06,7.678844761360668577e+06
5.000000000000000000e+00,8.111419859742816538e+06,7.631554300485678017e+06
5.500000000000000000e+00,8.111419859742816538e+06,7.584409618965122849e+06
6.000000000000000000e+00,8.111419859742816538e+06,7.537410716799004003e+06
6.500000000000000000e+00,8.111419859742816538e+06,7.490557593987320550e+06
7.000000000000000000e+00,8.111419859742816538e+06,7.443850250530073419e+06
7.500000000000000000e+00,8.111419859742816538e+06,7.397288686427262612e+06
8.000000000000000000e+00,8.111419859742816538e+06,7.350816303619193844e+06
8.500000000000000000e+00,8.111419859742816538e+06,7.304471699172121473e+06
9.000000000000000000e+00,8.111419859742816538e+06,7.258267147102205083e+06
9.500000000000000000e+00,8.111419859742816538e+06,7.212202647409445606e+06
1.000000000000000000e+01,8.111419859742816538e+06,7.166278200093841180e+06
1.050000000000000000e+01,8.111419859742816538e+06,7.120493805155393668e+06
1.100000000000000000e+01,8.111419859742816538e+06,7.074849462594102137e+06
1.150000000000000000e+01,8.111419859742816538e+06,7.029345172409966588e+06
1.200000000000000000e+01,8.111419859742816538e+06,6.983980934602986090e+06
1.250000000000000000e+01,8.111419859742816538e+06,6.938756749173162505e+06
1.300000000000000000e+01,8.111419859742816538e+06,6.893672616120494902e+06
1.350000000000000000e+01,8.111419859742816538e+06,6.848728535444984213e+06
1.400000000000000000e+01,8.111419859742816538e+06,6.803924507146628574e+06
1.450000000000000000e+01,8.111419859742816538e+06,6.759260531225428917e+06
1.500000000000000000e+01,8.111419859742816538e+06,6.714736607681386173e+06
1.550000000000000000e+01,8.111419859742816538e+06,6.670352736514498480e+06
1.600000000000000000e+01,8.111419859742816538e+06,6.626108917724767700e+06
1.650000000000000000e+01,8.111419859742816538e+06,6.582005151312192902e+06
1.700000000000000000e+01,8.111419859742816538e+06,6.538041437276774086e+06
1.750000000000000000e+01,8.111419859742816538e+06,6.494217775618511252e+06
1.800000000000000000e+01,8.111419859742816538e+06,6.450534166337404400e+06
1.850000000000000000e+01,8.111419859742816538e+06,6.406990609433453530e+06
1.900000000000000000e+01,8.111419859742816538e+06,6.363587104906658642e+06
1.950000000000000000e+01,8.111419859742816538e+06,6.320348951905806549e+06
2.000000000000000000e+01,8.111419859742816538e+06,6.277293388705724850e+06
2.050000000000000000e+01,8.111419859742816538e+06,6.234383259534929879e+06
2.100000000000000000e+01,8.111419859742816538e+06,6.191618564393420704e+06
2.150000000000000000e+01,8.111419859742816538e+06,6.148999303281197324e+06
2.200000000000000000e+01,8.111419859742816538e+06,6.106525476198259741e+06
2.250000000000000000e+01,8.111419859742816538e+06,6.064197083144608885e+06
2.300000000000000000e+01,8.111419859742816538e+06,6.022014124120242894e+06
2.350000000000000000e+01,8.111419859742816538e+06,5.979976599125163630e+06
2.400000000000000000e+01,8.111419859742816538e+06,5.938084508159370162e+06
2.450000000000000000e+01,8.111419859742816538e+06,5.896337851222862490e+06
2.500000000000000000e+01,8.111419859742816538e+06,5.854736628315641545e+06
2.550000000000000000e+01,8.111419859742816538e+06,5.813280839437705465e+06
2.600000000000000000e+01,8.111419859742816538e+06,5.771970484589056112e+06
2.650000000000000000e+01,8.111419859742816538e+06,5.730805563769692555e+06
2.700000000000000000e+01,8.111419859742816538e+06,5.689786076979614794e+06
2.750000000000000000e+01,8.111419859742816538e+06,5.648912024218822829e+06
2.800000000000000000e+01,8.111419859742816538e+06,5.608183405487317592e+06
2.850000000000000000e+01,8.111419859742816538e+06,5.567600220785098150e+06
2.900000000000000000e+01,8.111419859742816538e+06,5.527162470112164505e+06
2.950000000000000000e+01,8.111419859742816538e+06,5.486870153468516655e+06
3.000000000000000000e+01,8.111419859742816538e+06,5.446723270854154602e+06
3.050000000000000000e+01,8.111419859742816538e+06,5.406721822269078344e+06
3.100000000000000000e+01,8.111419859742816538e+06,5.366865807713288814e+06
3.150000000000000000e+01,8.111419859742816538e+06,5.327194765970628709e+06
3.200000000000000000e+01,8.111419859742816538e+06,5.287673496882456355e+06
3.250000000000000000e+01,8.111419859742816538e+06,5.248300989799889736e+06
3.300000000000000000e+01,8.111419859742816538e+06,5.209077244722929783e+06
3.350000000000000000e+01,8.111419859742816538e+06,5.170002261651576497e+06
3.400000000000000000e+01,8.111419859742816538e+06,5.131076040585829876e+06
3.450000000000000000e+01,8.111419859742816538e+06,5.092298581525688991e+06
3.500000000000000000e+01,8.111419859742816538e+06,5.053669884471155703e+06
3.550000000000000000e+01,8.111419859742816538e+06,5.015189949422228150e+06
3.600000000000000000e+01,8.111419859742816538e+06,4.976858776378907263e+06
3.650000000000000000e+01,8.111419859742816538e+06,4.938676365341193043e+06
3.700000000000000000e+01,8.111419859742816538e+06,4.900642716309085488e+06
