t_s,P_acc_pa,P_act_pa
0.000000000000000000e+00,1.013529321629999904e+05,2.413165051499999687e+07
5.000000000000000278e-02,1.013529321629999904e+05,2.413165051499999687e+07
1.000000000000000056e-01,1.013529321629999904e+05,2.413165051499999687e+07
1.500000000000000222e-01,1.013529321629999904e+05,2.413165051499999687e+07
2.000000000000000111e-01,1.013529321629999904e+05,2.413165051499999687e+07
2.500000000000000000e-01,1.013529321629999904e+05,2.413165051499999687e+07
3.000000000000000444e-01,1.013529321629999904e+05,2.413165051499999687e+07
3.500000000000000333e-01,1.013529321629999904e+05,2.413165051499999687e+07
4.000000000000000222e-01,1.013529321629999904e+05,2.413165051499999687e+07
4.500000000000000111e-01,1.013529321629999904e+05,2.413165051499999687e+07
5.000000000000000000e-01,1.013529321629999904e+05,2.413165051499999687e+07
5.500000000000000444e-01,1.013529321629999904e+05,2.413165051499999687e+07
6.000000000000000888e-01,1.013529321629999904e+05,2.413165051499999687e+07
6.500000000000000222e-01,1.013529321629999904e+05,2.413165051499999687e+07
7.000000000000000666e-01,1.013529321629999904e+05,2.413165051499999687e+07
7.500000000000000000e-01,1.013529321629999904e+05,2.413165051499999687e+07
8.000000000000000444e-01,1.013529321629999904e+05,2.413165051499999687e+07
8.500000000000000888e-01,1.013529321629999904e+05,2.413165051499999687e+07
9.000000000000000222e-01,1.013529321629999904e+05,2.413165051499999687e+07
9.500000000000000666e-01,1.013529321629999904e+05,2.413165051499999687e+07
1.000000000000000000e+00,1.013527867467209871e+05,2.413165080583255365e+07
1.050000000000000044e+00,8.111443492823803797e+06,8.111469393678388558e+06
1.100000000000000089e+00,8.111454279114330187e+06,8.111447821097334847e+06
1.150000000000000133e+00,8.111454845164232887e+06,8.111446688997528516e+06
1.200000000000000178e+00,8.111444540333308280e+06,8.111467298659378663e+06
1.250000000000000000e+00,8.111430978133699857e+06,8.111494423058594577e+06
1.300000000000000044e+00,8.111434022171221673e+06,8.111488334983551875e+06
1.350000000000000089e+00,8.111447162242774852e+06,8.111462054840444587e+06
1.400000000000000133e+00,8.111455641758430749e+06,8.111445095809132792e+06
1.450000000000000178e+00,8.111452897172867320e+06,8.111450584980261512e+06
1.500000000000000000e+00,8.111440557985366322e+06,8.111475263355262578e+06
1.550000000000000044e+00,8.111429639628285542e+06,8.111497100069424137e+06
1.600000000000000089e+00,8.111437447537320666e+06,8.111481484251354821e+06
1.650000000000000133e+00,8.111450421907856129e+06,8.111455535510282964e+06
1.700000000000000178e+00,8.111456086289451458e+06,8.111444206747092307e+06
1.750000000000000000e+00,8.111450157276270911e+06,8.111456064773453400e+06
1.800000000000000044e+00,8.111436544507090002e+06,8.111483290311815217e+06
1.850000000000000089e+00,8.111430253382455558e+06,8.111495872561084107e+06
1.900000000000000133e+00,8.111441224270905368e+06,8.111473930784184486e+06
1.950000000000000178e+00,8.111453066615367308e+06,8.111450246095260605e+06
2.000000000000000000e+00,8.111455584104889072e+06,8.111445211116218008e+06
2.050000000000000266e+00,8.111446773474189453e+06,8.111462832377616316e+06
2.100000000000000089e+00,8.111432824500354007e+06,8.111490730325286277e+06
2.149999999999999911e+00,8.111432310136294924e+06,8.111491759053405374e+06
2.200000000000000178e+00,8.111445019711215980e+06,8.111466339903563261e+06
2.250000000000000000e+00,8.111454940307953395e+06,8.111446498710087501e+06
2.300000000000000266e+00,8.111454155753975734e+06,8.111448067818044685e+06
2.350000000000000089e+00,8.111442942918693647e+06,8.111470493488607928e+06
2.400000000000000355e+00,8.111430163438108750e+06,8.111496052449777722e+06
2.450000000000000178e+00,8.111435349778614938e+06,8.111485679768764414e+06
2.500000000000000000e+00,8.111448550353570841e+06,8.111459278618852608e+06
2.550000000000000266e+00,8.111455936083436944e+06,8.111444507159121335e+06
2.600000000000000089e+00,8.111451870930619538e+06,8.111452637464757077e+06
2.650000000000000355e+00,8.111438911899466999e+06,8.111478555527061224e+06
2.700000000000000178e+00,8.111429683659516275e+06,8.111497012006963603e+06
2.750000000000000000e+00,8.111438961351992562e+06,8.111478456622010097e+06
2.800000000000000266e+00,8.111451581841791049e+06,8.111453215642414056e+06
2.850000000000000089e+00,8.111455996184310876e+06,8.111444386957373470e+06
2.900000000000000355e+00,8.111448848476893269e+06,8.111458682372207753e+06
2.950000000000000178e+00,8.111434975858819671e+06,8.111486427608354948e+06
3.000000000000000000e+00,8.111430943051087670e+06,8.111494493223819882e+06
3.050000000000000266e+00,8.111442783045860007e+06,8.111470813234276138e+06
3.100000000000000089e+00,8.111453928965546191e+06,8.111448521394902840e+06
3.150000000000000355e+00,8.111455112000479363e+06,8.111446155325037427e+06
3.200000000000000178e+00,8.111445256382934749e+06,8.111465866560125723e+06
3.250000000000000000e+00,8.111431487836338580e+06,8.111493403653318062e+06
3.300000000000000266e+00,8.111433452350093052e+06,8.111489474625808187e+06
3.350000000000000089e+00,8.111446502197739668e+06,8.111463374930514954e+06
3.400000000000000355e+00,8.111455455662603490e+06,8.111445468000789173e+06
3.450000000000000178e+00,8.111453324069953524e+06,8.111449731186089106e+06
3.500000000000000000e+00,8.111441311787000857e+06,8.111473755751993507e+06
3.550000000000000266e+00,8.111429725046565756e+06,8.111496929232862778e+06
3.600000000000000089e+00,8.111436771441918798e+06,8.111482836442157626e+06
3.650000000000000355e+00,8.111449855293245986e+06,8.111456668739504181e+06
3.700000000000000178e+00,8.111456075018811040e+06,8.111444229288373142e+06
3.750000000000000000e+00,8.111450722078817897e+06,8.111454935168360360e+06
3.800000000000000266e+00,8.111437280975415371e+06,8.111481817375165410e+06
3.850000000000000089e+00,8.111430014896729961e+06,8.111496349532536231e+06
3.900000000000000355e+00,8.111440509360020980e+06,8.111475360605954193e+06
3.950000000000000178e+00,8.111452627966087312e+06,8.111451123393820599e+06
4.000000000000000000e+00,8.111455749268123880e+06,8.111444880789747462e+06
4.049999999999999822e+00,8.111447444863346405e+06,8.111461489599302411e+06
4.100000000000000533e+00,8.111433479386785068e+06,8.111489420552424155e+06
4.150000000000000355e+00,8.111431838963896967e+06,8.111492701398201287e+06
4.200000000000000178e+00,8.111444324277196079e+06,8.111467730771603063e+06
4.250000000000000000e+00,8.111454654993350618e+06,8.111447069339293987e+06
4.299999999999999822e+00,8.111454489798567258e+06,8.111447399728859775e+06
4.350000000000000533e+00,8.111443680415671319e+06,8.111469018494651653e+06
4.400000000000000355e+00,8.111430487869659439e+06,8.111495403586674482e+06
4.450000000000000178e+00,8.111434727973019704e+06,8.111486923379954882e+06
4.500000000000000000e+00,8.111447923529492691e+06,8.111460532267008908e+06
4.549999999999999822e+00,8.111455820314499550e+06,8.111444738696995191e+06
4.600000000000000533e+00,8.111452357140079141e+06,8.111451665045836009e+06
4.650000000000000355e+00,8.111439665854879655e+06,8.111477047616234981e+06
4.700000000000000178e+00,8.111429625727219507e+06,8.111497127871555276e+06
4.750000000000000000e+00,8.111438261807844043e+06,8.111479855710306205e+06
4.800000000000000711e+00,8.111451063601486385e+06,8.111454252123021521e+06
4.850000000000000533e+00,8.111456057009406388e+06,8.111444265307181515e+06
4.900000000000000355e+00,8.111449460969463922e+06,8.111457457387065515e+06
4.950000000000000178e+00,8.111435687456138432e+06,8.111485004413716495e+06
5.000000000000000000e+00,8.111430599407336675e+06,8.111495180511320941e+06
5.050000000000000711e+00,8.111442069497515447e+06,8.111472240330962464e+06
5.100000000000000533e+00,8.111453550120688044e+06,8.111449279084619135e+06
5.150000000000000355e+00,8.111455347303929739e+06,8.111445684718134813e+06
5.200000000000000178e+00,8.111445960110936314e+06,8.111464459104122594e+06
5.250000000000000000e+00,8.111432080642014742e+06,8.111492218041963875e+06
5.300000000000000711e+00,8.111432910488207825e+06,8.111490558349578641e+06
5.350000000000000533e+00,8.111445829218595289e+06,8.111464720888803713e+06
5.400000000000000355e+00,8.111455237861999311e+06,8.111445903601994738e+06
5.450000000000000178e+00,8.111453722571330145e+06,8.111448934183334000e+06
5.500000000000000000e+00,8.111442062536109239e+06,8.111472254253774881e+06
5.550000000000000711e+00,8.111429881706821732e+06,8.111496615912351757e+06
5.600000000000000533e+00,8.111436109695438296e+06,8.111484159935117699e+06
5.650000000000000355e+00,8.111449268295033835e+06,8.111457842735925689e+06
5.700000000000000178e+00,8.111456030747732148e+06,8.111444317830529995e+06
5.750000000000000000e+00,8.111451263332270086e+06,8.111453852661453187e+06
5.800000000000000711e+00,8.111438025364006869e+06,8.111480328597981483e+06
5.850000000000000533e+00,8.111429829591163434e+06,8.111496720143667422e+06
5.900000000000000355e+00,8.111439796902029775e+06,8.111476785521933809e+06
5.950000000000000178e+00,8.111452163198189810e+06,8.111452052929614671e+06
6.000000000000000000e+00,8.111455881847595796e+06,8.111444615630801767e+06
6.050000000000000711e+00,8.111448099254820496e+06,8.111460180816354230e+06
6.100000000000000533e+00,8.111434154861039482e+06,8.111488069603916258e+06
6.150000000000000355e+00,8.111431404629622586e+06,8.111493570066749118e+06
6.200000000000000178e+00,8.111443621128389612e+06,8.111469137069215067e+06
6.250000000000000000e+00,8.111454339546822943e+06,8.111447700232347474e+06
6.300000000000000711e+00,8.111454793378707953e+06,8.111446792568577453e+06
6.350000000000000533e+00,8.111444409154442139e+06,8.111467561017110012e+06
6.400000000000000355e+00,8.111430895072082989e+06,8.111494589181828313e+06
6.450000000000000178e+00,8.111434128391653299e+06,8.111488122542687692e+06
6.500000000000000000e+00,8.111447280542325228e+06,8.111461818241343834e+06
6.550000000000000711e+00,8.111455672107095830e+06,8.111445035111802630e+06
