t_s,P_acc_pa,P_act_pa
0.000000000000000000e+00,1.932560146802475676e+07,1.932554912006401643e+07
5.000000000000000000e-01,1.932560146802475676e+07,1.917391153382785991e+07
1.000000000000000000e+00,1.932560146802475676e+07,1.902287432270896062e+07
1.500000000000000000e+00,1.932560146802475676e+07,1.887243748641794547e+07
2.000000000000000000e+00,1.932560146802475676e+07,1.872260102516623959e+07
2.500000000000000000e+00,1.932560146802475676e+07,1.857336493915766850e+07
3.000000000000000000e+00,1.932560146802475676e+07,1.842472922854502872e+07
3.500000000000000000e+00,1.932560146802475676e+07,1.827669389343009517e+07
4.000000000000000000e+00,1.932560146802475676e+07,1.812925893386361748e+07
4.500000000000000000e+00,1.932560146802475676e+07,1.798242434984531626e+07
5.000000000000000000e+00,1.932560146802475676e+07,1.783619014132390171e+07
5.500000000000000000e+00,1.932560146802475676e+07,1.769055630819704384e+07
6.000000000000000000e+00,1.932560146802475676e+07,1.754552285031139851e+07
6.500000000000000000e+00,1.932560146802475676e+07,1.740108976746259630e+07
7.000000000000000000e+00,1.932560146802475676e+07,1.725725705626880378e+07
7.500000000000000000e+00,1.932560146802475676e+07,1.711402466598644853e+07
8.000000000000000000e+00,1.932560146802475676e+07,1.697139258719192818e+07
8.500000000000000000e+00,1.932560146802475676e+07,1.682936083026785403e+07
9.000000000000000000e+00,1.932560146802475676e+07,1.668792940504817665e+07
9.500000000000000000e+00,1.932560146802475676e+07,1.654709832081815228e+07
1.000000000000000000e+01,1.932560146802475676e+07,1.640686758631436899e+07
1.050000000000000000e+01,1.932560146802475676e+07,1.626723720972473919e+07
1.100000000000000000e+01,1.932560146802475676e+07,1.612820719868849404e+07
1.150000000000000000e+01,1.932560146802475676e+07,1.598977756029619090e+07
1.200000000000000000e+01,1.932560146802475676e+07,1.585194830108970776e+07
1.250000000000000000e+01,1.932560146802475676e+07,1.571471942706225254e+07
1.300000000000000000e+01,1.932560146802475676e+07,1.557809094365834817e+07
1.350000000000000000e+01,1.932560146802475676e+07,1.544206285577384382e+07
