t_s,P_acc_pa,P_act_pa
0.000000000000000000e+00,2.413165051499999687e+07,1.013529321629999904e+05
5.000000000000000278e-02,2.413165051499999687e+07,1.013529321629999904e+05
1.000000000000000056e-01,2.413165051499999687e+07,1.013529321629999904e+05
1.500000000000000222e-01,2.413165051499999687e+07,1.013529321629999904e+05
2.000000000000000111e-01,2.413165051499999687e+07,1.013529321629999904e+05
2.500000000000000000e-01,2.413165051499999687e+07,1.013529321629999904e+05
3.000000000000000444e-01,2.413165051499999687e+07,1.013529321629999904e+05
3.500000000000000333e-01,2.413165051499999687e+07,1.013529321629999904e+05
4.000000000000000222e-01,2.413165051499999687e+07,1.013529321629999904e+05
4.500000000000000111e-01,2.413165051499999687e+07,1.013529321629999904e+05
5.000000000000000000e-01,2.413165051499999687e+07,1.013529321629999904e+05
5.500000000000000444e-01,2.413165051499999687e+07,1.013529321629999904e+05
6.000000000000000888e-01,2.413165051499999687e+07,1.013529321629999904e+05
6.500000000000000222e-01,2.413165051499999687e+07,1.013529321629999904e+05
7.000000000000000666e-01,2.413165051499999687e+07,1.013529321629999904e+05
7.500000000000000000e-01,2.413165051499999687e+07,1.013529321629999904e+05
8.000000000000000444e-01,2.413165051499999687e+07,1.013529321629999904e+05
8.500000000000000888e-01,2.413165051499999687e+07,1.013529321629999904e+05
9.000000000000000222e-01,2.413165051499999687e+07,1.013529321629999904e+05
9.500000000000000666e-01,2.413165051499999687e+07,1.013529321629999904e+05
1.000000000000000000e+00,2.413165049596054107e+07,1.013530083208219730e+05
1.050000000000000044e+00,1.932558733760307357e+07,1.932560564175074920e+07
1.100000000000000089e+00,1.932560708187741041e+07,1.932552666465339437e+07
1.150000000000000133e+00,1.932560501546405256e+07,1.932553493030683324e+07
1.200000000000000178e+00,1.932558793896079808e+07,1.932560323631984740e+07
1.250000000000000000e+00,1.932562005818506330e+07,1.932547475942279398e+07
1.300000000000000044e+00,1.932559035692029819e+07,1.932559356448185444e+07
1.350000000000000089e+00,1.932560087611345574e+07,1.932555148770922422e+07
1.400000000000000133e+00,1.932561084541297331e+07,1.932551161051115021e+07
1.450000000000000178e+00,1.932558613172343746e+07,1.932561046526928991e+07
1.500000000000000000e+00,1.932561766160091758e+07,1.932548434575937688e+07
