t_s,P_acc_pa,P_act_pa
0.000000000000000000e+00,4.907409110253430903e+06,4.907425802638271824e+06
5.000000000000000000e-01,4.907409110253430903e+06,4.831748896421854384e+06
1.000000000000000000e+00,4.907409110253430903e+06,4.756672364074897021e+06
1.500000000000000000e+00,4.907409110253430903e+06,4.682196204222394153e+06
2.000000000000000000e+00,4.907409110253430903e+06,4.608320418842341751e+06
2.500000000000000000e+00,4.907409110253430903e+06,4.535045009488434531e+06
3.000000000000000000e+00,4.907409110253430903e+06,4.462369977202677168e+06
3.500000000000000000e+00,4.907409110253430903e+06,4.390295322515381500e+06
4.000000000000000000e+00,4.907409110253430903e+06,4.318821045445168391e+06
4.500000000000000000e+00,4.907409110253430903e+06,4.247947145498968661e+06
5.000000000000000000e+00,4.907409110253430903e+06,4.177673621672019362e+06
5.500000000000000000e+00,4.907409110253430903e+06,4.108000472447869368e+06
6.000000000000000000e+00,4.907409110253430903e+06,4.038927695776038803e+06
6.500000000000000000e+00,4.907409110253430903e+06,3.970455255494530313e+06
7.000000000000000000e+00,4.907409110253430903e+06,3.902583135217581410e+06
7.500000000000000000e+00,4.907409110253430903e+06,3.835311355094449595e+06
8.000000000000000000e+00,4.907409110253430903e+06,3.768639932874983177e+06
8.500000000000000000e+00,4.907409110253430903e+06,3.702568883909621742e+06
9.000000000000000000e+00,4.907409110253430903e+06,3.637098221149395220e+06
9.500000000000000000e+00,4.907409110253430903e+06,3.572227955145925283e+06
1.000000000000000000e+01,4.907409110253430903e+06,3.507958094051422551e+06
1.050000000000000000e+01,4.907409110253430903e+06,3.444288643618690781e+06
1.100000000000000000e+01,4.907409110253430903e+06,3.381219607201122679e+06
1.150000000000000000e+01,4.907409110253430903e+06,3.318750985752702691e+06
1.200000000000000000e+01,4.907409110253430903e+06,3.256882777828006074e+06
1.250000000000000000e+01,4.907409110253430903e+06,3.195614979582199361e+06
1.300000000000000000e+01,4.907409110253430903e+06,3.134947584771038033e+06
1.350000000000000000e+01,4.907409110253430903e+06,3.074880584750871174e+06
1.400000000000000000e+01,4.907409110253430903e+06,3.015413968478635885e+06
1.450000000000000000e+01,4.907409110253430903e+06,2.956547722511861473e+06
1.500000000000000000e+01,4.907409110253430903e+06,2.898281831008668523e+06
1.550000000000000000e+01,4.907409110253430903e+06,2.840616275727767963e+06
1.600000000000000000e+01,4.907409110253430903e+06,2.783551036029647570e+06
1.650000000000000000e+01,4.907409110253430903e+06,2.727086100521725602e+06
1.700000000000000000e+01,4.907409110253430903e+06,2.671221489865611307e+06
1.750000000000000000e+01,4.907409110253430903e+06,2.615957227398344316e+06
1.800000000000000000e+01,4.907409110253430903e+06,2.561293332949099597e+06
1.850000000000000000e+01,4.907409110253430903e+06,2.507229822839185596e+06
1.900000000000000000e+01,4.907409110253430903e+06,2.453766709882047493e+06
1.950000000000000000e+01,4.907409110253430903e+06,2.400904003383265343e+06
2.000000000000000000e+01,4.907409110253430903e+06,2.348641709140553605e+06
2.050000000000000000e+01,4.907409110253430903e+06,2.296979829443762079e+06
2.100000000000000000e+01,4.907409110253430903e+06,2.245918363074876368e+06
2.150000000000000000e+01,4.907409110253430903e+06,2.195457305308016017e+06
2.200000000000000000e+01,4.907409110253430903e+06,2.145596647909436375e+06
2.250000000000000000e+01,4.907409110253430903e+06,2.096336379137528595e+06
2.300000000000000000e+01,4.907409110253430903e+06,2.047676483742817771e+06
2.350000000000000000e+01,4.907409110253430903e+06,1.999616942967963871e+06
2.400000000000000000e+01,4.907409110253430903e+06,1.952157734547763597e+06
2.450000000000000000e+01,4.907409110253430903e+06,1.905298834787573200e+06
2.500000000000000000e+01,4.907409110253430903e+06,1.859040250114651397e+06
2.550000000000000000e+01,4.907409110253430903e+06,1.813382009494238533e+06
2.600000000000000000e+01,4.907409110253430903e+06,1.768324137467908673e+06
2.650000000000000000e+01,4.907409110253430903e+06,1.723866653392111650e+06
2.700000000000000000e+01,4.907409110253430903e+06,1.680009571438173065e+06
2.750000000000000000e+01,4.907409110253430903e+06,1.636752900592293357e+06
2.800000000000000000e+01,4.907409110253430903e+06,1.594096644655548967e+06
2.850000000000000000e+01,4.907409110253430903e+06,1.552040802243891638e+06
2.900000000000000000e+01,4.907409110253430903e+06,1.510585366788148414e+06
2.950000000000000000e+01,4.907409110253430903e+06,1.469730326534022344e+06
3.000000000000000000e+01,4.907409110253430903e+06,1.429475664542091312e+06
3.050000000000000000e+01,4.907409110253430903e+06,1.389821358687808970e+06
3.100000000000000000e+01,4.907409110253430903e+06,1.350767381661504507e+06
3.150000000000000000e+01,4.907409110253430903e+06,1.312313710933847586e+06
3.200000000000000000e+01,4.907409110253430903e+06,1.274460369802816771e+06
3.250000000000000000e+01,4.907409110253430903e+06,1.237207390769825084e+06
3.300000000000000000e+01,4.907409110253430903e+06,1.200554798655096209e+06
3.350000000000000000e+01,4.907409110253430903e+06,1.164502610593491932e+06
3.400000000000000000e+01,4.907409110253430903e+06,1.129050836034512380e+06
3.450000000000000000e+01,4.907409110253430903e+06,1.094199476742295083e+06
3.500000000000000000e+01,4.907409110253430903e+06,1.059948526795616373e+06
3.550000000000000000e+01,4.907409110253430903e+06,1.026297972587889992e+06
3.600000000000000000e+01,4.907409110253430903e+06,9.932477928271680139e+05
3.650000000000000000e+01,4.907409110253430903e+06,9.607979585361406207e+05
3.700000000000000000e+01,4.907409110253430903e+06,9.289484362869185861e+05
3.750000000000000000e+01,4.907409110253430903e+06,8.976992356816419633e+05
3.800000000000000000e+01,4.907409110253430903e+06,8.670503967031366192e+05
3.850000000000000000e+01,4.907409110253430903e+06,8.370019490210918011e+05
3.900000000000000000e+01,4.907409110253430903e+06,8.075539108443816658e+05
3.950000000000000000e+01,4.907409110253430903e+06,7.787062889210649300e+05
4.000000000000000000e+01,4.907409110253430903e+06,7.504590785383854527e+05
4.050000000000000000e+01,4.907409110253430903e+06,7.228122635227711871e+05
4.100000000000000000e+01,4.907409110253430903e+06,6.957658162398355780e+05
4.150000000000000000e+01,4.907409110253430903e+06,6.693196977284562308e+05
4.200000000000000000e+01,4.907409110253430903e+06,6.434738903753553750e+05
4.250000000000000000e+01,4.907409110253430903e+06,6.182284382196357474e+05
4.300000000000000000e+01,4.907409110253430903e+06,5.935833789369951701e+05
4.350000000000000000e+01,4.907409110253430903e+06,5.695387329708451871e+05
4.400000000000000000e+01,4.907409110253430903e+06,5.460945035323115299e+05
4.450000000000000000e+01,4.907409110253430903e+06,5.232506766002338845e+05
4.500000000000000000e+01,4.907409110253430903e+06,5.010072209211658919e+05
4.550000000000000000e+01,4.907409110253430903e+06,4.793640894210312399e+05
4.600000000000000000e+01,4.907409110253430903e+06,4.583212777465796098e+05
4.650000000000000000e+01,4.907409110253430903e+06,4.378788410064117634e+05
4.700000000000000000e+01,4.907409110253430903e+06,4.180368141117129708e+05
4.750000000000000000e+01,4.907409110253430903e+06,3.987952057632680517e+05
4.800000000000000000e+01,4.907409110253430903e+06,3.801539984514612588e+05
4.850000000000000000e+01,4.907409110253430903e+06,3.621131484562764526e+05
4.900000000000000000e+01,4.907409110253430903e+06,3.446726081385263242e+05
4.950000000000000000e+01,4.907409110253430903e+06,3.278324246917646378e+05
5.000000000000000000e+01,4.907409110253430903e+06,3.115926499723523157e+05
5.050000000000000000e+01,4.907409110253430903e+06,2.959532953822324052e+05
5.100000000000000000e+01,4.907409110253430903e+06,2.809143318252441240e+05
5.150000000000000000e+01,4.907409110253430903e+06,2.664756941303572385e+05
5.200000000000000000e+01,4.907409110253430903e+06,2.526373893666506920e+05
5.250000000000000000e+01,4.907409110253430903e+06,2.393994909609801834e+05
5.300000000000000000e+01,4.907409110253430903e+06,2.267620146109068883e+05
5.350000000000000000e+01,4.907409110253430903e+06,2.147249121122484212e+05
5.400000000000000000e+01,4.907409110253430903e+06,2.032881184456405754e+05
5.450000000000000000e+01,4.907409110253430903e+06,1.924517113456324150e+05
5.500000000000000000e+01,4.907409110253430903e+06,1.822157318898969679e+05
5.550000000000000000e+01,4.907409110253430903e+06,1.725801178367383545e+05
5.600000000000000000e+01,4.907409110253430903e+06,1.635448198273334128e+05
5.650000000000000000e+01,4.907409110253430903e+06,1.551099430812008213e+05
5.700000000000000000e+01,4.907409110253430903e+06,1.472754655694614048e+05
5.750000000000000000e+01,4.907409110253430903e+06,1.400412951063808869e+05
5.800000000000000000e+01,4.907409110253430903e+06,1.334075512220133387e+05
5.850000000000000000e+01,4.907409110253430903e+06,1.273741750994109752e+05
5.900000000000000000e+01,4.907409110253430903e+06,1.219411458278696955e+05
5.950000000000000000e+01,4.907409110253430903e+06,1.171085392574640719e+05
6.000000000000000000e+01,4.907409110253430903e+06,1.128762546140989434e+05
6.050000000000000000e+01,4.907409110253430903e+06,1.092443850315337768e+05
6.100000000000000000e+01,4.907409110253430903e+06,1.062128829167193762e+05
6.150000000000000000e+01,4.907409110253430903e+06,1.037817304721140245e+05
6.200000000000000000e+01,4.907409110253430903e+06,1.019509691410178784e+05
6.250000000000000000e+01,4.907409110253430903e+06,1.007206034842723166e+05
6.300000000000000000e+01,4.907409110253430903e+06,1.000905968099728052e+05
6.350000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
6.400000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
6.450000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
6.500000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
6.550000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
6.600000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
6.650000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
6.700000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
6.750000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
6.800000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
6.850000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
6.900000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
6.950000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
7.000000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
7.050000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
7.100000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
7.150000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
7.200000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
7.250000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
7.300000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
7.350000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
7.400000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
7.450000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
7.500000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
7.550000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
7.600000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
7.650000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
7.700000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
7.750000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
7.800000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
7.850000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
7.900000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
7.950000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
8.000000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
8.050000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
8.100000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
8.150000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
8.200000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
8.250000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
8.300000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
8.350000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
8.400000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
8.450000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
8.500000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
8.550000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
8.600000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
8.650000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
8.700000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
8.750000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
8.800000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
8.850000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
8.900000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
8.950000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
9.000000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
9.050000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
9.100000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
9.150000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
9.200000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
9.250000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
9.300000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
9.350000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
9.400000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
9.450000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
9.500000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
9.550000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
9.600000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
9.650000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
9.700000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
9.750000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
9.800000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
9.850000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
9.900000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
9.950000000000000000e+01,4.907409110253430903e+06,9.999938956377243449e+04
1.000000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.005000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.010000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.015000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.020000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.025000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.030000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.035000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.040000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.045000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.050000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.055000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.060000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.065000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.070000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.075000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.080000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.085000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.090000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.095000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.100000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.105000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.110000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.115000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.120000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.125000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.130000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.135000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.140000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.145000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.150000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.155000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.160000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.165000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.170000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.175000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.180000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.185000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.190000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.195000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.200000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.205000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.210000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.215000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.220000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.225000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.230000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.235000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.240000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.245000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.250000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.255000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.260000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.265000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.270000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.275000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.280000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.285000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.290000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.295000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.300000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.305000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.310000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.315000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.320000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.325000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.330000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.335000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.340000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.345000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.350000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.355000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.360000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.365000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.370000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.375000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.380000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.385000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.390000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.395000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.400000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.405000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.410000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.415000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.420000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.425000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.430000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.435000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.440000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.445000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.450000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.455000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.460000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.465000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.470000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.475000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
1.480000000000000000e+02,4.907409110253430903e+06,9.999938956377243449e+04
