t_s,P_acc_pa,P_act_pa
0.000000000000000000e+00,1.013529321629999904e+05,2.413165051499999687e+07
5.000000000000000278e-02,1.013529321629999904e+05,2.413165051499999687e+07
1.000000000000000056e-01,1.013529321629999904e+05,2.413165051499999687e+07
1.500000000000000222e-01,1.013529321629999904e+05,2.413165051499999687e+07
2.000000000000000111e-01,1.013529321629999904e+05,2.413165051499999687e+07
2.500000000000000000e-01,1.013529321629999904e+05,2.413165051499999687e+07
3.000000000000000444e-01,1.013529321629999904e+05,2.413165051499999687e+07
3.500000000000000333e-01,1.013529321629999904e+05,2.413165051499999687e+07
4.000000000000000222e-01,1.013529321629999904e+05,2.413165051499999687e+07
4.500000000000000111e-01,1.013529321629999904e+05,2.413165051499999687e+07
5.000000000000000000e-01,1.013529321629999904e+05,2.413165051499999687e+07
5.500000000000000444e-01,1.013529321629999904e+05,2.413165051499999687e+07
6.000000000000000888e-01,1.013529321629999904e+05,2.413165051499999687e+07
6.500000000000000222e-01,1.013529321629999904e+05,2.413165051499999687e+07
7.000000000000000666e-01,1.013529321629999904e+05,2.413165051499999687e+07
7.500000000000000000e-01,1.013529321629999904e+05,2.413165051499999687e+07
8.000000000000000444e-01,1.013529321629999904e+05,2.413165051499999687e+07
8.500000000000000888e-01,1.013529321629999904e+05,2.413165051499999687e+07
9.000000000000000222e-01,1.013529321629999904e+05,2.413165051499999687e+07
9.500000000000000666e-01,1.013529321629999904e+05,2.413165051499999687e+07
1.000000000000000000e+00,1.013618917124025465e+05,2.413161467680238560e+07
1.050000000000000044e+00,4.907413648516218178e+06,4.907407649587118998e+06
1.100000000000000089e+00,4.907411940309010446e+06,4.907414482415949926e+06
1.150000000000000133e+00,4.907408713577800430e+06,4.907427389340790920e+06
1.200000000000000178e+00,4.907405472541737370e+06,4.907440353485044092e+06
1.250000000000000000e+00,4.907405728421917185e+06,4.907439329964326695e+06
1.300000000000000044e+00,4.907408650483501144e+06,4.907427641717988066e+06
1.350000000000000089e+00,4.907411806954511441e+06,4.907415015833945945e+06
1.400000000000000133e+00,4.907413604690835811e+06,4.907407824888650328e+06
1.450000000000000178e+00,4.907413289176227525e+06,4.907409086947084405e+06
1.500000000000000000e+00,4.907410944522306323e+06,4.907418465562767349e+06
1.550000000000000044e+00,4.907407493468562141e+06,4.907432269777745940e+06
1.600000000000000089e+00,4.907405073571346700e+06,4.907441949366604909e+06
1.650000000000000133e+00,4.907406573459815234e+06,4.907435949812732637e+06
1.700000000000000178e+00,4.907409808186988346e+06,4.907423010904039256e+06
1.750000000000000000e+00,4.907412634530752897e+06,4.907411705528981052e+06
1.800000000000000044e+00,4.907413747896860354e+06,4.907407252064554021e+06
1.850000000000000089e+00,4.907412682318927720e+06,4.907411514376282692e+06
1.900000000000000133e+00,4.907409810458442196e+06,4.907423001818225719e+06
1.950000000000000178e+00,4.907406343604753725e+06,4.907436869232977740e+06
2.000000000000000000e+00,4.907405225700434297e+06,4.907441340850256383e+06
2.050000000000000266e+00,4.907407616585602984e+06,4.907431777309578843e+06
2.100000000000000089e+00,4.907410910249223933e+06,4.907418602655098774e+06
2.149999999999999911e+00,4.907413252019043081e+06,4.907409235575820319e+06
2.200000000000000178e+00,4.907413625850678422e+06,4.907407740249278955e+06
2.250000000000000000e+00,4.907411854327612557e+06,4.907414826341544278e+06
2.300000000000000266e+00,4.907408598661194555e+06,4.907427849007214420e+06
2.350000000000000089e+00,4.907405407983706333e+06,4.907440611717166379e+06
2.400000000000000355e+00,4.907405796263585798e+06,4.907439058597648516e+06
2.450000000000000178e+00,4.907408759294357151e+06,4.907427206474564038e+06
2.500000000000000000e+00,4.907411892325767316e+06,4.907414674348924309e+06
2.550000000000000266e+00,4.907413629235428758e+06,4.907407726710275747e+06
2.600000000000000089e+00,4.907413242528824136e+06,4.907409273536694236e+06
2.650000000000000355e+00,4.907410843339300714e+06,4.907418870294790715e+06
2.700000000000000178e+00,4.907407381428069435e+06,4.907432717939713039e+06
2.750000000000000000e+00,4.907405066569020040e+06,4.907441977375910617e+06
2.800000000000000266e+00,4.907406664349119179e+06,4.907435586255516857e+06
2.850000000000000089e+00,4.907409914834877476e+06,4.907422584312482737e+06
2.900000000000000355e+00,4.907412701825906523e+06,4.907411436348364688e+06
2.950000000000000178e+00,4.907413747749686241e+06,4.907407252653247677e+06
3.000000000000000000e+00,4.907412613661559299e+06,4.907411789005755447e+06
3.050000000000000266e+00,4.907409699244738556e+06,4.907423446673037484e+06
3.100000000000000089e+00,4.907406242810301483e+06,4.907437272410786711e+06
3.150000000000000355e+00,4.907405263331330381e+06,4.907441190326671116e+06
3.200000000000000178e+00,4.907407720799076371e+06,4.907431360455686226e+06
3.250000000000000000e+00,4.907411008209695108e+06,4.907418210813214071e+06
3.300000000000000266e+00,4.907413297912660055e+06,4.907409052001352422e+06
3.350000000000000089e+00,4.907413600885315798e+06,4.907407840110728517e+06
3.400000000000000355e+00,4.907411766732871532e+06,4.907415176720504649e+06
3.450000000000000178e+00,4.907408483688402921e+06,4.907428308898381889e+06
3.500000000000000000e+00,4.907405349393667653e+06,4.907440846077320166e+06
3.550000000000000266e+00,4.907405866705921479e+06,4.907438776828305796e+06
3.600000000000000089e+00,4.907408868209229782e+06,4.907426770815072581e+06
3.650000000000000355e+00,4.907411976175066084e+06,4.907414338951730169e+06
3.700000000000000178e+00,4.907413651502770372e+06,4.907407637640912086e+06
3.750000000000000000e+00,4.907413193719549105e+06,4.907409468773794360e+06
3.800000000000000266e+00,4.907410740980478004e+06,4.907419279730080627e+06
3.850000000000000089e+00,4.907407270068495534e+06,4.907433163378011435e+06
3.900000000000000355e+00,4.907405064277826808e+06,4.907441986540684476e+06
3.950000000000000178e+00,4.907406756881806999e+06,4.907435216124762781e+06
4.000000000000000000e+00,4.907410020929078571e+06,4.907422159935679287e+06
4.049999999999999822e+00,4.907412767239872366e+06,4.907411174692506902e+06
4.100000000000000533e+00,4.907413745266834274e+06,4.907407262584656477e+06
4.150000000000000355e+00,4.907412543087026104e+06,4.907412071303889155e+06
4.200000000000000178e+00,4.907409587403518148e+06,4.907423894037922844e+06
4.250000000000000000e+00,4.907406143545394763e+06,4.907437669470416382e+06
4.299999999999999822e+00,4.907405304515160620e+06,4.907441025591352955e+06
4.350000000000000533e+00,4.907407825789076276e+06,4.907430940495687537e+06
4.400000000000000355e+00,4.907411105048636906e+06,4.907417823457445018e+06
4.450000000000000178e+00,4.907413341664552689e+06,4.907408876993782818e+06
4.500000000000000000e+00,4.907413573633546941e+06,4.907407949117804877e+06
4.549999999999999822e+00,4.907411677578357980e+06,4.907415533338561654e+06
4.600000000000000533e+00,4.907408368747737259e+06,4.907428768661047332e+06
4.650000000000000355e+00,4.907405296660665423e+06,4.907441057009331882e+06
4.700000000000000178e+00,4.907405939637092873e+06,4.907438485103623010e+06
4.750000000000000000e+00,4.907408977134122513e+06,4.907426335115503520e+06
4.800000000000000711e+00,4.907412058442130685e+06,4.907414009883471765e+06
4.850000000000000533e+00,4.907413671477509663e+06,4.907407557741957717e+06
4.900000000000000355e+00,4.907413142782659270e+06,4.907409672521356493e+06
4.950000000000000178e+00,4.907410637525996193e+06,4.907419693548007868e+06
5.000000000000000000e+00,4.907407159501949325e+06,4.907433605644199066e+06
5.050000000000000711e+00,4.907405066583699547e+06,4.907441977317196317e+06
5.100000000000000533e+00,4.907406850937724113e+06,4.907434839901098981e+06
5.150000000000000355e+00,4.907410126371791586e+06,4.907421738164827228e+06
5.200000000000000178e+00,4.907412830721957609e+06,4.907410920764162205e+06
5.250000000000000000e+00,4.907413740450290032e+06,4.907407281850832514e+06
5.300000000000000711e+00,4.907412470644870773e+06,4.907412361072512344e+06
5.350000000000000533e+00,4.907409475019791164e+06,4.907424343572830781e+06
5.400000000000000355e+00,4.907406045915158466e+06,4.907438059991362505e+06
5.450000000000000178e+00,4.907405349139359780e+06,4.907440847094555385e+06
5.500000000000000000e+00,4.907407931464276277e+06,4.907430517794891261e+06
5.550000000000000711e+00,4.907411200708457269e+06,4.907417440818165429e+06
5.600000000000000533e+00,4.907413383253640495e+06,4.907408710637434386e+06
5.650000000000000355e+00,4.907413544107569382e+06,4.907408067221718840e+06
5.700000000000000178e+00,4.907411586904003285e+06,4.907415896035983227e+06
5.750000000000000000e+00,4.907408253902713768e+06,4.907429228041139431e+06
5.800000000000000711e+00,4.907405249657463282e+06,4.907441245022140443e+06
5.850000000000000533e+00,4.907406014968840405e+06,4.907438183776633814e+06
5.900000000000000355e+00,4.907409086017091759e+06,4.907425899583629332e+06
5.950000000000000178e+00,4.907412139103615656e+06,4.907413687237532809e+06
6.000000000000000000e+00,4.907413689155823551e+06,4.907407487028698437e+06
6.050000000000000711e+00,4.907413089727141894e+06,4.907409884743426926e+06
6.100000000000000533e+00,4.907410532997005619e+06,4.907420111663971096e+06
6.150000000000000355e+00,4.907407049770865589e+06,4.907434044568532147e+06
6.200000000000000178e+00,4.907405073373263702e+06,4.907441950158940628e+06
6.250000000000000000e+00,4.907406946466459893e+06,4.907434457786154933e+06
6.300000000000000711e+00,4.907410231149639934e+06,4.907421319053434767e+06
6.350000000000000533e+00,4.907412892269883305e+06,4.907410674572460353e+06
6.400000000000000355e+00,4.907413733300278895e+06,4.907407310450879857e+06
6.450000000000000178e+00,4.907412396339928731e+06,4.907412658292281441e+06
6.500000000000000000e+00,4.907409362113947980e+06,4.907424795196203515e+06
6.550000000000000711e+00,4.907405949973466806e+06,4.907438443758127280e+06
