t_s,P_acc_pa,P_act_pa
0.000000000000000000e+00,9.411147301322961226e+06,9.411239268933437765e+06
5.000000000000000000e-01,9.411147301322961226e+06,9.148771029368191957e+06
1.000000000000000000e+00,9.411147301322961226e+06,8.890055067150454968e+06
1.500000000000000000e+00,9.411147301322961226e+06,8.635091362720834091e+06
2.000000000000000000e+00,9.411147301322961226e+06,8.383879998752948828e+06
2.500000000000000000e+00,9.411147301322961226e+06,8.136421033065545373e+06
3.000000000000000000e+00,9.411147301322961226e+06,7.892714498352015391e+06
3.500000000000000000e+00,9.411147301322961226e+06,7.652760402180392295e+06
4.000000000000000000e+00,9.411147301322961226e+06,7.416558726993348449e+06
4.500000000000000000e+00,9.411147301322961226e+06,7.184109430108200759e+06
5.000000000000000000e+00,9.411147301322961226e+06,6.955412443716905080e+06
5.500000000000000000e+00,9.411147301322961226e+06,6.730467659095296636e+06
6.000000000000000000e+00,9.411147301322961226e+06,6.509274910325220786e+06
6.500000000000000000e+00,9.411147301322961226e+06,6.291834357528729364e+06
7.000000000000000000e+00,9.411147301322961226e+06,6.078146179067855701e+06
7.500000000000000000e+00,9.411147301322961226e+06,5.868210498949708417e+06
8.000000000000000000e+00,9.411147301322961226e+06,5.662027386826476082e+06
8.500000000000000000e+00,9.411147301322961226e+06,5.459596857995425351e+06
9.000000000000000000e+00,9.411147301322961226e+06,5.260918873398900032e+06
9.500000000000000000e+00,9.411147301322961226e+06,5.065993339624322951e+06
1.000000000000000000e+01,9.411147301322961226e+06,4.874820108904192224e+06
1.050000000000000000e+01,9.411147301322961226e+06,4.687398979116089642e+06
1.100000000000000000e+01,9.411147301322961226e+06,4.503729802000645548e+06
1.150000000000000000e+01,9.411147301322961226e+06,4.323812779620866291e+06
1.200000000000000000e+01,9.411147301322961226e+06,4.147648133998012170e+06
1.250000000000000000e+01,9.411147301322961226e+06,3.975236007261633407e+06
1.300000000000000000e+01,9.411147301322961226e+06,3.806576461651367135e+06
1.350000000000000000e+01,9.411147301322961226e+06,3.641669479516937397e+06
1.400000000000000000e+01,9.411147301322961226e+06,3.480514963318157010e+06
1.450000000000000000e+01,9.411147301322961226e+06,3.323112735624926165e+06
1.500000000000000000e+01,9.411147301322961226e+06,3.169462548029703554e+06
1.550000000000000000e+01,9.411147301322961226e+06,3.019564389480193611e+06
1.600000000000000000e+01,9.411147301322961226e+06,2.873418544702246785e+06
1.650000000000000000e+01,9.411147301322961226e+06,2.731025206392816268e+06
1.700000000000000000e+01,9.411147301322961226e+06,2.592384449757384602e+06
1.750000000000000000e+01,9.411147301322961226e+06,2.457496232509961817e+06
1.800000000000000000e+01,9.411147301322961226e+06,2.326360394873086363e+06
1.850000000000000000e+01,9.411147301322961226e+06,2.198976663468639832e+06
1.900000000000000000e+01,9.411147301322961226e+06,2.075344960902546765e+06
1.950000000000000000e+01,9.411147301322961226e+06,1.955465604323998094e+06
2.000000000000000000e+01,9.411147301322961226e+06,1.839338792380097089e+06
2.050000000000000000e+01,9.411147301322961226e+06,1.726964550467863213e+06
2.100000000000000000e+01,9.411147301322961226e+06,1.618342730734231649e+06
2.150000000000000000e+01,9.411147301322961226e+06,1.513473024015570059e+06
2.200000000000000000e+01,9.411147301322961226e+06,1.412355405639347155e+06
2.250000000000000000e+01,9.411147301322961226e+06,1.314990227760808775e+06
2.300000000000000000e+01,9.411147301322961226e+06,1.221377627535392530e+06
2.350000000000000000e+01,9.411147301322961226e+06,1.131517485745690763e+06
2.400000000000000000e+01,9.411147301322961226e+06,1.045409458285000292e+06
2.450000000000000000e+01,9.411147301322961226e+06,9.630536013855671044e+05
2.500000000000000000e+01,9.411147301322961226e+06,8.844502698194039986e+05
2.550000000000000000e+01,9.411147301322961226e+06,8.095994637838660274e+05
2.600000000000000000e+01,9.411147301322961226e+06,7.385008308834283380e+05
2.650000000000000000e+01,9.411147301322961226e+06,6.711543936046871822e+05
2.700000000000000000e+01,9.411147301322961226e+06,6.075605099639762193e+05
2.750000000000000000e+01,9.411147301322961226e+06,5.477190117503859801e+05
2.800000000000000000e+01,9.411147301322961226e+06,4.916296245528615545e+05
2.850000000000000000e+01,9.411147301322961226e+06,4.392927565073807491e+05
2.900000000000000000e+01,9.411147301322961226e+06,3.907082321275275317e+05
2.950000000000000000e+01,9.411147301322961226e+06,3.458759266060437658e+05
3.000000000000000000e+01,9.411147301322961226e+06,3.047961374234778341e+05
3.050000000000000000e+01,9.411147301322961226e+06,2.674685187280351529e+05
3.100000000000000000e+01,9.411147301322961226e+06,2.338933967284769460e+05
3.150000000000000000e+01,9.411147301322961226e+06,2.040704945581116190e+05
3.200000000000000000e+01,9.411147301322961226e+06,1.779999992525438138e+05
3.250000000000000000e+01,9.411147301322961226e+06,1.556818694237756717e+05
3.300000000000000000e+01,9.411147301322961226e+06,1.371160492825156543e+05
3.350000000000000000e+01,9.411147301322961226e+06,1.223025755632467335e+05
3.400000000000000000e+01,9.411147301322961226e+06,1.112414248111326888e+05
3.450000000000000000e+01,9.411147301322961226e+06,1.039326563197252690e+05
3.500000000000000000e+01,9.411147301322961226e+06,1.003762105095176084e+05
3.550000000000000000e+01,9.411147301322961226e+06,9.999961203035805374e+04
3.600000000000000000e+01,9.411147301322961226e+06,9.999961203035805374e+04
3.650000000000000000e+01,9.411147301322961226e+06,9.999961203035805374e+04
3.700000000000000000e+01,9.411147301322961226e+06,9.999961203035805374e+04
3.750000000000000000e+01,9.411147301322961226e+06,9.999961203035805374e+04
3.800000000000000000e+01,9.411147301322961226e+06,9.999961203035805374e+04
3.850000000000000000e+01,9.411147301322961226e+06,9.999961203035805374e+04
3.900000000000000000e+01,9.411147301322961226e+06,9.999961203035805374e+04
3.950000000000000000e+01,9.411147301322961226e+06,9.999961203035805374e+04
