t_s,P_acc_pa,P_act_pa
0.000000000000000000e+00,1.034213593499999866e+07,1.034213593499999866e+07
1.000000000000000056e-01,1.034213593499999866e+07,8.257584772981554270e+06
2.000000000000000111e-01,1.034213593499999866e+07,6.400332391586520709e+06
3.000000000000000444e-01,1.034213593499999866e+07,4.780313425779074430e+06
4.000000000000000222e-01,1.034213593499999866e+07,3.399927555669898633e+06
5.000000000000000000e-01,1.034213593499999866e+07,2.260383029678792693e+06
6.000000000000000888e-01,1.034213593499999866e+07,1.361999514609316131e+06
7.000000000000000666e-01,1.034213593499999866e+07,7.038167680630678078e+05
8.000000000000000444e-01,1.034213593499999866e+07,2.856353138529479620e+05
9.000000000000000222e-01,1.034213593499999866e+07,1.071359388287715701e+05
1.000000000000000000e+00,1.034213593499999866e+07,9.971528036573194549e+04
1.100000000000000089e+00,1.034213593499999866e+07,9.965585143950597558e+04
1.200000000000000178e+00,1.034213593499999866e+07,9.968378154591350176e+04
1.300000000000000044e+00,1.034213593499999866e+07,9.977433476630138466e+04
1.400000000000000133e+00,1.034213593499999866e+07,9.979730944140841893e+04
1.500000000000000000e+00,1.034213593499999866e+07,9.981558774216445454e+04
1.600000000000000089e+00,1.034213593499999866e+07,9.982624785919235728e+04
1.700000000000000178e+00,1.034213593499999866e+07,9.983050277700854349e+04
1.800000000000000044e+00,1.034213593499999866e+07,9.984415254272049060e+04
1.900000000000000133e+00,1.034213593499999866e+07,9.985580494145052216e+04
2.000000000000000000e+00,1.034213593499999866e+07,9.986483514000265859e+04
2.100000000000000089e+00,1.034213593499999866e+07,9.987124313837689988e+04
2.200000000000000178e+00,1.034213593499999866e+07,9.987502893657324603e+04
2.300000000000000266e+00,1.034213593499999866e+07,9.987619253459169704e+04
2.400000000000000355e+00,1.034213593499999866e+07,9.987473393243223836e+04
2.500000000000000000e+00,1.034213593499999866e+07,9.987211454654442787e+04
2.600000000000000089e+00,1.034213593499999866e+07,9.987433577185892500e+04
2.700000000000000178e+00,1.034213593499999866e+07,9.987588641700564767e+04
2.800000000000000266e+00,1.034213593499999866e+07,9.987676648198459588e+04
2.900000000000000355e+00,1.034213593499999866e+07,9.987697596679575508e+04
3.000000000000000000e+00,1.034213593499999866e+07,9.987651487143915438e+04
3.100000000000000089e+00,1.034213593499999866e+07,9.987538319591476466e+04
3.200000000000000178e+00,1.034213593499999866e+07,9.987358094022260047e+04
3.300000000000000266e+00,1.034213593499999866e+07,9.987202096585583058e+04
3.400000000000000355e+00,1.034213593499999866e+07,9.987153112841812253e+04
3.500000000000000000e+00,1.034213593499999866e+07,9.987104129098041449e+04
3.600000000000000089e+00,1.034213593499999866e+07,9.987055145354272099e+04
3.700000000000000178e+00,1.034213593499999866e+07,9.987006161610501294e+04
3.800000000000000266e+00,1.034213593499999866e+07,9.986957177866730490e+04
3.900000000000000355e+00,1.034213593499999866e+07,9.986908194122959685e+04
4.000000000000000000e+00,1.034213593499999866e+07,9.986859210379188880e+04
4.100000000000000533e+00,1.034213593499999866e+07,9.986837101325091498e+04
4.200000000000000178e+00,1.034213593499999866e+07,9.986829454073953093e+04
4.299999999999999822e+00,1.034213593499999866e+07,9.986821806822816143e+04
4.400000000000000355e+00,1.034213593499999866e+07,9.986814159571679193e+04
4.500000000000000000e+00,1.034213593499999866e+07,9.986806512320542242e+04
4.600000000000000533e+00,1.034213593499999866e+07,9.986798865069405292e+04
4.700000000000000178e+00,1.034213593499999866e+07,9.986791217818268342e+04
4.800000000000000711e+00,1.034213593499999866e+07,9.986783570567129937e+04
4.900000000000000355e+00,1.034213593499999866e+07,9.986775923315992986e+04
5.000000000000000000e+00,1.034213593499999866e+07,9.986768276064856036e+04
5.100000000000000533e+00,1.034213593499999866e+07,9.986760628813719086e+04
5.200000000000000178e+00,1.034213593499999866e+07,9.986752981562582136e+04
5.300000000000000711e+00,1.034213593499999866e+07,9.986745334311445185e+04
5.400000000000000355e+00,1.034213593499999866e+07,9.986737687060306780e+04
5.500000000000000000e+00,1.034213593499999866e+07,9.986730039809169830e+04
5.600000000000000533e+00,1.034213593499999866e+07,9.986722392558032880e+04
5.700000000000000178e+00,1.034213593499999866e+07,9.986714745306895929e+04
5.800000000000000711e+00,1.034213593499999866e+07,9.986707098055758979e+04
5.900000000000000355e+00,1.034213593499999866e+07,9.986699450804622029e+04
6.000000000000000000e+00,1.034213593499999866e+07,9.986691803553485079e+04
6.100000000000000533e+00,1.034213593499999866e+07,9.986684156302346673e+04
6.200000000000000178e+00,1.034213593499999866e+07,9.986676509051209723e+04
6.300000000000000711e+00,1.034213593499999866e+07,9.986668861800072773e+04
6.400000000000000355e+00,1.034213593499999866e+07,9.986661214548935823e+04
6.500000000000000000e+00,1.034213593499999866e+07,9.986653567297798872e+04
6.600000000000000533e+00,1.034213593499999866e+07,9.986645920046661922e+04
6.700000000000000178e+00,1.034213593499999866e+07,9.986638272795523517e+04
6.800000000000000711e+00,1.034213593499999866e+07,9.986630625544386567e+04
6.900000000000000355e+00,1.034213593499999866e+07,9.986622978293249616e+04
