t_s,P_acc_pa,P_act_pa
0.000000000000000000e+00,1.032333205151907052e+06,1.032333205110804760e+06
5.000000000000000000e-01,1.032333205151907052e+06,9.507290711505681975e+05
1.000000000000000000e+00,1.032333205151907052e+06,8.727552332845719066e+05
1.500000000000000000e+00,1.032333205151907052e+06,7.984892166229157010e+05
2.000000000000000000e+00,1.032333205151907052e+06,7.279653530668545282e+05
2.500000000000000000e+00,1.032333205151907052e+06,6.612033911796760513e+05
3.000000000000000000e+00,1.032333205151907052e+06,5.981908887185619678e+05
3.500000000000000000e+00,1.032333205151907052e+06,5.389248730452513555e+05
4.000000000000000000e+00,1.032333205151907052e+06,4.834053441597439232e+05
4.500000000000000000e+00,1.032333205151907052e+06,4.316374414658168098e+05
5.000000000000000000e+00,1.032333205151907052e+06,3.836256778181684786e+05
5.500000000000000000e+00,1.032333205151907052e+06,3.393650736794132390e+05
6.000000000000000000e+00,1.032333205151907052e+06,2.988556290495510912e+05
6.500000000000000000e+00,1.032333205151907052e+06,2.620974140712910448e+05
7.000000000000000000e+00,1.032333205151907052e+06,2.290943674043678329e+05
7.500000000000000000e+00,1.032333205151907052e+06,1.998439711218584271e+05
8.000000000000000000e+00,1.032333205151907052e+06,1.743462252237628272e+05
8.500000000000000000e+00,1.032333205151907052e+06,1.526011297100810043e+05
9.000000000000000000e+00,1.032333205151907052e+06,1.346085965860231372e+05
9.500000000000000000e+00,1.032333205151907052e+06,1.203685839855981030e+05
1.000000000000000000e+01,1.032333205151907052e+06,1.098811349336868589e+05
1.050000000000000000e+01,1.032333205151907052e+06,1.031460448750428623e+05
1.100000000000000000e+01,1.032333205151907052e+06,1.000733768417163519e+05
1.150000000000000000e+01,1.032333205151907052e+06,9.970183034148647857e+04
1.200000000000000000e+01,1.032333205151907052e+06,9.978215206771454541e+04
1.250000000000000000e+01,1.032333205151907052e+06,9.979767015923575673e+04
1.300000000000000000e+01,1.032333205151907052e+06,9.980573656373737322e+04
1.350000000000000000e+01,1.032333205151907052e+06,9.980912990128411911e+04
1.400000000000000000e+01,1.032333205151907052e+06,9.981038921337931242e+04
1.450000000000000000e+01,1.032333205151907052e+06,9.981107051599466649e+04
1.500000000000000000e+01,1.032333205151907052e+06,9.981126711746100045e+04
1.550000000000000000e+01,1.032333205151907052e+06,9.981146371892734896e+04
