t_s,P_acc_pa,P_act_pa
0.000000000000000000e+00,1.034213593499999866e+07,1.013529321629999904e+05
5.000000000000000278e-02,1.034213593499999866e+07,1.013529321629999904e+05
1.000000000000000056e-01,1.034213593499999866e+07,1.013529321629999904e+05
1.500000000000000222e-01,1.034213593499999866e+07,1.013529321629999904e+05
2.000000000000000111e-01,1.034213593499999866e+07,1.013529321629999904e+05
2.500000000000000000e-01,1.034213593499999866e+07,1.013529321629999904e+05
3.000000000000000444e-01,1.034213593499999866e+07,1.013529321629999904e+05
3.500000000000000333e-01,1.034213593499999866e+07,1.013529321629999904e+05
4.000000000000000222e-01,1.034213593499999866e+07,1.013529321629999904e+05
4.500000000000000111e-01,1.034213593499999866e+07,1.013529321629999904e+05
5.000000000000000000e-01,1.034213593499999866e+07,1.013529321629999904e+05
5.500000000000000444e-01,1.034213593499999866e+07,1.013529321629999904e+05
6.000000000000000888e-01,1.034213593499999866e+07,1.013529321629999904e+05
6.500000000000000222e-01,1.034213593499999866e+07,1.013529321629999904e+05
7.000000000000000666e-01,1.034213593499999866e+07,1.013529321629999904e+05
7.500000000000000000e-01,1.034213593499999866e+07,1.013529321629999904e+05
8.000000000000000444e-01,1.034213593499999866e+07,1.013529321629999904e+05
8.500000000000000888e-01,1.034213593499999866e+07,1.013529321629999904e+05
9.000000000000000222e-01,1.034213593499999866e+07,1.013529321629999904e+05
9.500000000000000666e-01,1.034213593499999866e+07,1.013529321629999904e+05
1.000000000000000000e+00,1.034213142293497734e+07,1.013980528132176696e+05
1.050000000000000044e+00,9.411155207347583026e+06,9.411160208689829335e+06
1.100000000000000089e+00,9.411155785968290642e+06,9.411154422482768074e+06
1.150000000000000133e+00,9.411155888104399666e+06,9.411153401121675968e+06
1.200000000000000178e+00,9.411155990240508690e+06,9.411152379760582000e+06
1.250000000000000000e+00,9.411156075329534709e+06,9.411151528870319948e+06
1.300000000000000044e+00,9.411156027018556371e+06,9.411152011980120093e+06
1.350000000000000089e+00,9.411155978707576171e+06,9.411152495089918375e+06
1.400000000000000133e+00,9.411155930396595970e+06,9.411152978199718520e+06
1.450000000000000178e+00,9.411155901477592066e+06,9.411153267389761284e+06
1.500000000000000000e+00,9.411155873293189332e+06,9.411153549233781174e+06
1.550000000000000044e+00,9.411155845108788460e+06,9.411153831077801064e+06
1.600000000000000089e+00,9.411155816924385726e+06,9.411154112921820953e+06
1.650000000000000133e+00,9.411155788739984855e+06,9.411154394765838981e+06
1.700000000000000178e+00,9.411155760555582121e+06,9.411154676609858871e+06
1.750000000000000000e+00,9.411155732371179387e+06,9.411154958453878760e+06
