t_s,P_acc_pa,P_act_pa
0.000000000000000000e+00,2.413165051499999687e+07,2.413165051499999687e+07
1.000000000000000056e-01,2.413165051499999687e+07,2.279761538481139764e+07
2.000000000000000111e-01,2.413165051499999687e+07,2.150017105236090720e+07
3.000000000000000444e-01,2.413165051499999687e+07,2.023900413836395368e+07
4.000000000000000222e-01,2.413165051499999687e+07,1.901527999304684997e+07
5.000000000000000000e-01,2.413165051499999687e+07,1.782941313243738189e+07
6.000000000000000888e-01,2.413165051499999687e+07,1.668141102115337178e+07
7.000000000000000666e-01,2.413165051499999687e+07,1.557189419734910689e+07
8.000000000000000444e-01,2.413165051499999687e+07,1.450063822343850322e+07
9.000000000000000222e-01,2.413165051499999687e+07,1.346811158304755017e+07
1.000000000000000000e+00,2.413165051499999687e+07,1.247392712380916253e+07
1.100000000000000089e+00,2.413165051499999687e+07,1.151808484572334588e+07
1.200000000000000178e+00,2.413165051499999687e+07,1.060058474879009649e+07
1.300000000000000044e+00,2.413165051499999687e+07,9.721426833009418100e+06
1.400000000000000133e+00,2.413165051499999687e+07,8.880634888856675476e+06
1.500000000000000000e+00,2.413165051499999687e+07,8.078407748811500147e+06
1.600000000000000089e+00,2.413165051499999687e+07,7.314590400723195635e+06
1.700000000000000178e+00,2.413165051499999687e+07,6.589182844591761939e+06
1.800000000000000044e+00,2.413165051499999687e+07,5.902185080417201854e+06
1.900000000000000133e+00,2.413165051499999687e+07,5.253597108199511655e+06
2.000000000000000000e+00,2.413165051499999687e+07,4.643421577009255067e+06
2.100000000000000089e+00,2.413165051499999687e+07,4.071712091845619958e+06
2.200000000000000178e+00,2.413165051499999687e+07,3.538428836693199817e+06
2.300000000000000266e+00,2.413165051499999687e+07,3.043571811551994644e+06
2.400000000000000355e+00,2.413165051499999687e+07,2.587141016422004905e+06
2.500000000000000000e+00,2.413165051499999687e+07,2.169136451303231996e+06
2.600000000000000089e+00,2.413165051499999687e+07,1.789558116195672425e+06
2.700000000000000178e+00,2.413165051499999687e+07,1.448417965757659404e+06
2.800000000000000266e+00,2.413165051499999687e+07,1.145709385007774225e+06
2.900000000000000355e+00,2.413165051499999687e+07,8.814322935312421760e+05
3.000000000000000000e+00,2.413165051499999687e+07,6.555838354014882352e+05
3.100000000000000089e+00,2.413165051499999687e+07,4.681600266560926684e+05
3.200000000000000178e+00,2.413165051499999687e+07,3.191641089225152973e+05
3.300000000000000266e+00,2.413165051499999687e+07,2.085960822007559473e+05
3.400000000000000355e+00,2.413165051499999687e+07,1.364545653391330561e+05
3.500000000000000000e+00,2.413165051499999687e+07,1.027382984298329538e+05
3.600000000000000089e+00,2.413165051499999687e+07,9.970739459904454998e+04
3.700000000000000178e+00,2.413165051499999687e+07,9.970775874066211691e+04
3.800000000000000266e+00,2.413165051499999687e+07,9.970812043741298839e+04
3.900000000000000355e+00,2.413165051499999687e+07,9.970848025045363465e+04
4.000000000000000000e+00,2.413165051499999687e+07,9.970883646260545356e+04
4.100000000000000533e+00,2.413165051499999687e+07,9.970919267475725792e+04
4.200000000000000178e+00,2.413165051499999687e+07,9.970926498663211532e+04
4.299999999999999822e+00,2.413165051499999687e+07,9.970932059781193675e+04
4.400000000000000355e+00,2.413165051499999687e+07,9.970937620899175818e+04
4.500000000000000000e+00,2.413165051499999687e+07,9.970943182017157960e+04
4.600000000000000533e+00,2.413165051499999687e+07,9.970948743135140103e+04
4.700000000000000178e+00,2.413165051499999687e+07,9.970954304253122245e+04
4.800000000000000711e+00,2.413165051499999687e+07,9.970959865371102933e+04
4.900000000000000355e+00,2.413165051499999687e+07,9.970965426489085075e+04
5.000000000000000000e+00,2.413165051499999687e+07,9.970970987607067218e+04
5.100000000000000533e+00,2.413165051499999687e+07,9.970976548725049361e+04
5.200000000000000178e+00,2.413165051499999687e+07,9.970982109843031503e+04
5.300000000000000711e+00,2.413165051499999687e+07,9.970987670961013646e+04
5.400000000000000355e+00,2.413165051499999687e+07,9.970993232078994333e+04
5.500000000000000000e+00,2.413165051499999687e+07,9.970998793196976476e+04
5.600000000000000533e+00,2.413165051499999687e+07,9.971004354314958618e+04
5.700000000000000178e+00,2.413165051499999687e+07,9.971009915432940761e+04
5.800000000000000711e+00,2.413165051499999687e+07,9.971015476550922904e+04
5.900000000000000355e+00,2.413165051499999687e+07,9.971021037668905046e+04
6.000000000000000000e+00,2.413165051499999687e+07,9.971026598786885734e+04
6.100000000000000533e+00,2.413165051499999687e+07,9.971032159904867876e+04
6.200000000000000178e+00,2.413165051499999687e+07,9.971037721022850019e+04
6.300000000000000711e+00,2.413165051499999687e+07,9.971043282140832162e+04
6.400000000000000355e+00,2.413165051499999687e+07,9.971048843258814304e+04
6.500000000000000000e+00,2.413165051499999687e+07,9.971054404376796447e+04
6.600000000000000533e+00,2.413165051499999687e+07,9.971055486938994727e+04
6.700000000000000178e+00,2.413165051499999687e+07,9.971056355130409065e+04
6.800000000000000711e+00,2.413165051499999687e+07,9.971057223321824858e+04
6.900000000000000355e+00,2.413165051499999687e+07,9.971058091513239197e+04
7.000000000000000000e+00,2.413165051499999687e+07,9.971058959704653535e+04
7.100000000000000533e+00,2.413165051499999687e+07,9.971059827896069328e+04
7.200000000000000178e+00,2.413165051499999687e+07,9.971060696087483666e+04
7.300000000000000711e+00,2.413165051499999687e+07,9.971061564278899459e+04
7.400000000000000355e+00,2.413165051499999687e+07,9.971062432470313797e+04
7.500000000000000000e+00,2.413165051499999687e+07,9.971063300661728135e+04
7.600000000000000533e+00,2.413165051499999687e+07,9.971064168853143929e+04
7.700000000000000178e+00,2.413165051499999687e+07,9.971065037044558267e+04
7.800000000000000711e+00,2.413165051499999687e+07,9.971065905235974060e+04
7.900000000000000355e+00,2.413165051499999687e+07,9.971066773427388398e+04
8.000000000000000000e+00,2.413165051499999687e+07,9.971067641618802736e+04
