t_s,P_acc_pa,P_act_pa
0.000000000000000000e+00,2.413165051499999687e+07,1.013529321629999904e+05
5.000000000000000278e-02,2.413165051499999687e+07,1.013529321629999904e+05
1.000000000000000056e-01,2.413165051499999687e+07,1.013529321629999904e+05
1.500000000000000222e-01,2.413165051499999687e+07,1.013529321629999904e+05
2.000000000000000111e-01,2.413165051499999687e+07,1.013529321629999904e+05
2.500000000000000000e-01,2.413165051499999687e+07,1.013529321629999904e+05
3.000000000000000444e-01,2.413165051499999687e+07,1.013529321629999904e+05
3.500000000000000333e-01,2.413165051499999687e+07,1.013529321629999904e+05
4.000000000000000222e-01,2.413165051499999687e+07,1.013529321629999904e+05
4.500000000000000111e-01,2.413165051499999687e+07,1.013529321629999904e+05
5.000000000000000000e-01,2.413165051499999687e+07,1.013529321629999904e+05
5.500000000000000444e-01,2.413165051499999687e+07,1.013529321629999904e+05
6.000000000000000888e-01,2.413165051499999687e+07,1.013529321629999904e+05
6.500000000000000222e-01,2.413165051499999687e+07,1.013529321629999904e+05
7.000000000000000666e-01,2.413165051499999687e+07,1.013529321629999904e+05
7.500000000000000000e-01,2.413165051499999687e+07,1.013529321629999904e+05
8.000000000000000444e-01,2.413165051499999687e+07,1.013529321629999904e+05
8.500000000000000888e-01,2.413165051499999687e+07,1.013529321629999904e+05
9.000000000000000222e-01,2.413165051499999687e+07,1.013529321629999904e+05
9.500000000000000666e-01,2.413165051499999687e+07,1.013529321629999904e+05
1.000000000000000000e+00,2.413164598346263170e+07,1.013710583124623081e+05
1.050000000000000044e+00,1.932563470122683793e+07,1.932541618725566566e+07
1.100000000000000089e+00,1.932560099372046441e+07,1.932555101728116721e+07
1.150000000000000133e+00,1.932559782557686418e+07,1.932556368985557556e+07
1.200000000000000178e+00,1.932558991876163334e+07,1.932559531711648777e+07
1.250000000000000000e+00,1.932558461123490334e+07,1.932561654722341150e+07
1.300000000000000044e+00,1.932557930370817333e+07,1.932563777733033895e+07
1.350000000000000089e+00,1.932557399618143961e+07,1.932565900743726268e+07
1.400000000000000133e+00,1.932556868865470961e+07,1.932568023754418641e+07
1.450000000000000178e+00,1.932556338112797961e+07,1.932570146765111387e+07
1.500000000000000000e+00,1.932555807360124588e+07,1.932572269775803760e+07
