t_s,P_acc_pa,P_act_pa
0.000000000000000000e+00,2.070000000000000000e+07,1.000000000000000000e+05
1.000000000000000056e-01,2.070000000000000000e+07,1.000000000000000000e+05
2.000000000000000111e-01,2.070000000000000000e+07,1.000000000000000000e+05
3.000000000000000444e-01,2.070000000000000000e+07,1.000000000000000000e+05
4.000000000000000222e-01,2.070000000000000000e+07,1.000000000000000000e+05
5.000000000000000000e-01,2.070000000000000000e+07,1.000000000000000000e+05
6.000000000000000888e-01,2.070000000000000000e+07,1.000000000000000000e+05
7.000000000000000666e-01,2.070000000000000000e+07,1.000000000000000000e+05
8.000000000000000444e-01,2.070000000000000000e+07,1.000000000000000000e+05
9.000000000000000222e-01,2.070000000000000000e+07,1.000000000000000000e+05
1.000000000000000000e+00,2.069999774322863668e+07,1.000090270854538976e+05
1.100000000000000089e+00,1.657999789355357550e+07,1.658000842578572780e+07
1.200000000000000178e+00,1.657999789355357550e+07,1.658000842578572780e+07
1.300000000000000044e+00,1.657999789355357550e+07,1.658000842578572780e+07
1.400000000000000133e+00,1.657999789355357550e+07,1.658000842578572780e+07
1.500000000000000000e+00,1.657999789355357550e+07,1.658000842578572780e+07
1.600000000000000089e+00,1.657999789355357550e+07,1.658000842578572780e+07
1.700000000000000178e+00,1.657999789355357550e+07,1.658000842578572780e+07
1.800000000000000044e+00,1.657999789355357550e+07,1.658000842578572780e+07
1.900000000000000133e+00,1.657999789355357550e+07,1.658000842578572780e+07
2.000000000000000000e+00,1.657999789355357550e+07,1.658000842578572780e+07
2.100000000000000089e+00,1.657999789355357550e+07,1.658000842578572780e+07
2.200000000000000178e+00,1.657999789355357550e+07,1.658000842578572780e+07
2.300000000000000266e+00,1.657999789355357550e+07,1.658000842578572780e+07
2.400000000000000355e+00,1.657999789355357550e+07,1.658000842578572780e+07
2.500000000000000000e+00,1.657999789355357550e+07,1.658000842578572780e+07
2.600000000000000089e+00,1.657999789355357550e+07,1.658000842578572780e+07
2.700000000000000178e+00,1.657999789355357550e+07,1.658000842578572780e+07
2.800000000000000266e+00,1.657999789355357550e+07,1.658000842578572780e+07
2.900000000000000355e+00,1.657999789355357550e+07,1.658000842578572780e+07
3.000000000000000000e+00,1.657999789355357550e+07,1.658000842578572780e+07
3.100000000000000089e+00,1.657999789355357550e+07,1.658000842578572780e+07
3.200000000000000178e+00,1.657999789355357550e+07,1.658000842578572780e+07
3.300000000000000266e+00,1.657999789355357550e+07,1.658000842578572780e+07
3.400000000000000355e+00,1.657999789355357550e+07,1.658000842578572780e+07
3.500000000000000000e+00,1.657999789355357550e+07,1.658000842578572780e+07
3.600000000000000089e+00,1.657999789355357550e+07,1.658000842578572780e+07
3.700000000000000178e+00,1.657999789355357550e+07,1.658000842578572780e+07
3.800000000000000266e+00,1.657999789355357550e+07,1.658000842578572780e+07
3.900000000000000355e+00,1.657999789355357550e+07,1.658000842578572780e+07
4.000000000000000000e+00,1.657999789355357550e+07,1.658000842578572780e+07
4.100000000000000533e+00,1.657999789355357550e+07,1.658000842578572780e+07
4.200000000000000178e+00,1.657999789355357550e+07,1.658000842578572780e+07
4.299999999999999822e+00,1.657999789355357550e+07,1.658000842578572780e+07
4.400000000000000355e+00,1.657999789355357550e+07,1.658000842578572780e+07
4.500000000000000000e+00,1.657999789355357550e+07,1.658000842578572780e+07
4.600000000000000533e+00,1.657999789355357550e+07,1.658000842578572780e+07
4.700000000000000178e+00,1.657999789355357550e+07,1.658000842578572780e+07
4.800000000000000711e+00,1.657999789355357550e+07,1.658000842578572780e+07
4.900000000000000355e+00,1.657999789355357550e+07,1.658000842578572780e+07
5.000000000000000000e+00,1.657999789355357550e+07,1.658000842578572780e+07
5.100000000000000533e+00,1.657999789355357550e+07,1.658000842578572780e+07
5.200000000000000178e+00,1.657999789355357550e+07,1.658000842578572780e+07
5.300000000000000711e+00,1.657999789355357550e+07,1.658000842578572780e+07
5.400000000000000355e+00,1.657999789355357550e+07,1.658000842578572780e+07
5.500000000000000000e+00,1.657999789355357550e+07,1.658000842578572780e+07
5.600000000000000533e+00,1.657999789355357550e+07,1.658000842578572780e+07
5.700000000000000178e+00,1.657999789355357550e+07,1.658000842578572780e+07
5.800000000000000711e+00,1.657999789355357550e+07,1.658000842578572780e+07
5.900000000000000355e+00,1.657999789355357550e+07,1.658000842578572780e+07
6.000000000000000000e+00,1.657999789355357550e+07,1.658000842578572780e+07
